SG1破口,SG2破口,SG3破口,LOCA破口-1环路,LOCA破口-2环路,LOCA破口-3环路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0952697,0.0952606,0.0952606,15.3981,15.3981,6.66976,6.66964,6.66942,6.66976,6.66964,6.66976,6.66964,7.94E-05,3.70E-05,5.63E-05,7.94E-05,7.88E-05,7.88E-05,3.70E-05,3.70E-05,3.63E-05,3.63E-05,5.63E-05,5.63E-05,5.55E-05,5.55E-05,1911.03,1910.64,1885.69,1911.03,1910.64,1885.69,15,15,0,0,0,0,0,0,15.3679,3700,3700,3700,0.1,0.1,0.1,1888.64,1888.25,1863.33,1911.02,1910.64,1885.69,-2.98E-08,48.9375,48.9375,0,12854020,-2.98E-08,48.7622,48.7622,0,12854020,-2.98E-08,47.3142,47.3143,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814838,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6597.28,6595.16,6602.62,6601.06,0,0,0,0,0,0,0,10.1997,17.7582,13.5826,2.49998,2.5,34.2777,34.2777,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157461,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2242,0,27.2242,326.954,292.671,333.416,333.458,15.398,15.398,0.0952606,30,30,30,11.1814,11.1396,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0951738,0.0951653,0.0951653,15.3979,15.3979,6.66974,6.66962,6.6694,6.66974,6.66962,6.66974,6.66962,7.37E-05,3.01E-05,4.78E-05,7.37E-05,7.31E-05,7.31E-05,3.01E-05,3.01E-05,2.94E-05,2.94E-05,4.78E-05,4.78E-05,4.69E-05,4.69E-05,1911.03,1910.65,1885.69,1911.03,1910.65,1885.69,15,15,0,0,0,0,0,0,15.3678,3700,3700,3700,0.1,0.1,0.1,1888.62,1888.23,1863.29,1911.02,1910.65,1885.7,-2.98E-08,48.937,48.9371,0,12854020,-2.98E-08,48.7618,48.7619,0,12854020,-2.98E-08,47.3138,47.3139,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814852,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6601.23,6610.52,6610.6,6594.16,0,0,0,0,0,0,0,10.2002,17.7582,13.5825,2.49998,2.5,34.2776,34.2776,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157446,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2244,0,27.2245,326.954,292.671,333.416,333.458,15.3979,15.3979,0.0951738,30,30,30,11.181,11.1392,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0950894,0.0950809,0.0950809,15.3979,15.3979,6.66973,6.6696,6.66939,6.66973,6.6696,6.66973,6.6696,6.79E-05,2.34E-05,3.93E-05,6.79E-05,6.72E-05,6.72E-05,2.34E-05,2.34E-05,2.26E-05,2.26E-05,3.93E-05,3.93E-05,3.84E-05,3.84E-05,1911.03,1910.65,1885.7,1911.03,1910.65,1885.7,15,15,0,0,0,0,0,0,15.3677,3700,3700,3700,0.1,0.1,0.1,1888.57,1888.18,1863.26,1911.02,1910.65,1885.7,-2.98E-08,48.9365,48.9366,0,12854020,-2.98E-08,48.7613,48.7614,0,12854020,-2.98E-08,47.3133,47.3134,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814864,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6610.87,6609.81,6597.88,6607.23,0,0,0,0,0,0,0,10.2008,17.7582,13.5825,2.49998,2.5,34.2775,34.2775,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157475,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2248,0,27.2249,326.953,292.67,333.416,333.458,15.3979,15.3979,0.0950894,30,30,30,11.1807,11.1389,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0950079,0.0950003,0.0950003,15.3978,15.3978,6.66971,6.66959,6.66937,6.66971,6.66959,6.66971,6.66959,6.14E-05,1.60E-05,3.06E-05,6.14E-05,6.07E-05,6.07E-05,1.60E-05,1.60E-05,1.53E-05,1.53E-05,3.06E-05,3.06E-05,2.97E-05,2.97E-05,1911.03,1910.65,1885.7,1911.03,1910.65,1885.7,15,15,0,0,0,0,0,0,15.3676,3700,3700,3700,0.1,0.1,0.1,1888.55,1888.15,1863.22,1911.02,1910.65,1885.7,-2.98E-08,48.9358,48.9359,0,12854020,-2.98E-08,48.7608,48.7609,0,12854020,-2.98E-08,47.3128,47.3128,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814876,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6615.35,6593.73,6616.84,6594.76,0,0,0,0,0,0,0,10.2013,17.7582,13.5825,2.49998,2.5,34.2775,34.2775,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157497,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2253,0,27.2254,326.953,292.67,333.416,333.458,15.3978,15.3978,0.0950079,30,30,30,11.1804,11.1385,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0949297,0.0949221,0.0949221,15.3977,15.3977,6.6697,6.66957,6.66936,6.66969,6.66957,6.66969,6.66957,5.45E-05,8.90E-06,2.20E-05,5.45E-05,5.39E-05,5.39E-05,8.90E-06,8.90E-06,8.21E-06,8.21E-06,2.20E-05,2.20E-05,2.12E-05,2.12E-05,1911.03,1910.65,1885.69,1911.03,1910.65,1885.69,15,15,0,0,0,0,0,0,15.3675,3700,3700,3700,0.1,0.1,0.1,1888.49,1888.1,1863.18,1911.02,1910.65,1885.69,-2.98E-08,48.935,48.9351,0,12854020,-2.98E-08,48.7602,48.7603,0,12854020,-2.98E-08,47.3122,47.3123,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814889,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6612.78,6605.85,6607.18,6615.29,0,0,0,0,0,0,0,10.2019,17.7582,13.5824,2.49998,2.5,34.2774,34.2774,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157482,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2258,0,27.226,326.953,292.67,333.416,333.458,15.3977,15.3977,0.0949297,30,30,30,11.1801,11.1382,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
