rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0948391,0.0948324,0.0948324,15.3976,15.3976,6.66968,6.66955,6.66934,6.66968,6.66955,6.66968,6.66955,4.52E-05,-8.35E-07,1.20E-05,4.52E-05,4.43E-05,4.43E-05,-8.35E-07,-8.35E-07,-1.69E-06,-1.69E-06,1.20E-05,1.20E-05,1.10E-05,1.10E-05,1911.01,1910.64,1885.68,1911.01,1910.64,1885.68,15,15,0,0,0,0,0,0,15.3675,3700,3700,3700,0.1,0.1,0.1,1888.45,1888.06,1863.14,1911.02,1910.64,1885.68,-2.98E-08,48.9338,48.9339,0,12854020,-2.98E-08,48.7594,48.7595,0,12854020,-2.98E-08,47.3116,47.3117,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814903,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6594.5,6608.64,6593.2,6596.72,0,0,0,0,0,0,0,10.2025,17.7581,13.5823,2.49998,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157447,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2266,0,27.2268,326.953,292.67,333.416,333.458,15.3976,15.3976,0.0948391,30,30,30,11.1797,11.1378,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0947676,0.0947609,0.0947609,15.3975,15.3975,6.66966,6.66954,6.66932,6.66966,6.66954,6.66966,6.66954,3.69E-05,-8.86E-06,3.05E-06,3.69E-05,3.60E-05,3.60E-05,-8.86E-06,-8.86E-06,-9.63E-06,-9.63E-06,3.05E-06,3.05E-06,2.19E-06,2.19E-06,1910.99,1910.63,1885.67,1910.99,1910.62,1885.67,15,15,0,0,0,0,0,0,15.3674,3700,3700,3700,0.1,0.1,0.1,1888.42,1888.03,1863.1,1911.02,1910.62,1885.67,-2.98E-08,48.9326,48.9327,0,12854020,-2.98E-08,48.7588,48.7589,0,12854020,-2.98E-08,47.311,47.3111,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814916,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6599.79,6614.2,6613.93,6596.88,0,0,0,0,0,0,0,10.2032,17.7581,13.5822,2.49999,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157461,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2275,0,27.2276,326.953,292.67,333.416,333.458,15.3975,15.3975,0.0947676,30,30,30,11.1795,11.1376,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0947003,0.0946941,0.0946941,15.3975,15.3975,6.66965,6.66952,6.66931,6.66965,6.66952,6.66965,6.66952,2.81E-05,-1.68E-05,-5.75E-06,2.81E-05,2.73E-05,2.73E-05,-1.68E-05,-1.68E-05,-1.76E-05,-1.76E-05,-5.75E-06,-5.75E-06,-6.59E-06,-6.59E-06,1910.96,1910.61,1885.65,1910.96,1910.6,1885.65,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.37,1887.99,1863.06,1911.01,1910.6,1885.65,-2.98E-08,48.9313,48.9314,0,12854020,-2.98E-08,48.7583,48.7584,0,12854020,-2.98E-08,47.3106,47.3106,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814928,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6597.85,6603.03,6608.57,6596.21,0,0,0,0,0,0,0,10.2041,17.7581,13.5822,2.49999,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157491,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2284,0,27.2286,326.953,292.67,333.416,333.458,15.3975,15.3975,0.0947003,30,30,30,11.1793,11.1374,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.094636,0.0946302,0.0946302,15.3974,15.3974,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,1.97E-05,-2.44E-05,-1.44E-05,1.97E-05,1.88E-05,1.88E-05,-2.44E-05,-2.44E-05,-2.51E-05,-2.51E-05,-1.44E-05,-1.44E-05,-1.52E-05,-1.52E-05,1910.92,1910.58,1885.63,1910.92,1910.58,1885.63,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.34,1887.94,1863,1910.99,1910.58,1885.63,-2.98E-08,48.9299,48.9301,0,12854020,-2.98E-08,48.758,48.7581,0,12854020,-2.98E-08,47.3102,47.3103,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.81494,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.04,6617.62,6609.88,6596.07,0,0,0,0,0,0,0,10.2048,17.758,13.5822,2.49999,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157495,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2296,0,27.2298,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0946302,30,30,30,11.179,11.1371,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945764,0.0945702,0.0945702,15.3974,15.3974,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,1.03E-05,-3.23E-05,-2.38E-05,1.03E-05,9.33E-06,9.33E-06,-3.23E-05,-3.23E-05,-3.31E-05,-3.31E-05,-2.38E-05,-2.38E-05,-2.47E-05,-2.47E-05,1910.88,1910.56,1885.61,1910.87,1910.56,1885.61,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.27,1887.89,1862.96,1910.97,1910.56,1885.6,-2.98E-08,48.9287,48.9288,0,12854020,-2.98E-08,48.7577,48.7578,0,12854020,-2.98E-08,47.3099,47.31,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814952,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6592.63,6595.37,6601.16,6614.6,0,0,0,0,0,0,0,10.2057,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157467,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2309,0,27.2312,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0945702,30,30,30,11.1789,11.137,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945201,0.0945148,0.0945148,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,1.46E-06,-4.03E-05,-3.21E-05,1.46E-06,7.60E-07,7.60E-07,-4.03E-05,-4.03E-05,-4.10E-05,-4.10E-05,-3.21E-05,-3.21E-05,-3.27E-05,-3.27E-05,1910.83,1910.54,1885.58,1910.83,1910.54,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.28,1887.88,1862.97,1910.95,1910.53,1885.58,-2.98E-08,48.9276,48.9277,0,12854020,-2.98E-08,48.7575,48.7575,0,12854020,-2.98E-08,47.3098,47.3098,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814964,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6610.39,6611.12,6592.93,6606.35,0,0,0,0,0,0,0,10.2067,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157447,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2323,0,27.2326,326.952,292.67,333.416,333.458,15.3974,15.3974,0.0945148,30,30,30,11.1787,11.1368,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944667,0.0944619,0.0944619,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-4.83E-06,-4.63E-05,-3.74E-05,-4.83E-06,-5.50E-06,-5.50E-06,-4.63E-05,-4.63E-05,-4.69E-05,-4.69E-05,-3.74E-05,-3.74E-05,-3.79E-05,-3.79E-05,1910.78,1910.51,1885.56,1910.78,1910.51,1885.56,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.25,1887.85,1862.93,1910.92,1910.51,1885.55,-2.98E-08,48.9267,48.9268,0,12854020,-2.98E-08,48.7575,48.7575,0,12854020,-2.98E-08,47.3097,47.3097,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814977,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6612.1,6609.79,6603.29,6601.94,0,0,0,0,0,0,0,10.208,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157473,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2339,0,27.2342,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944619,30,30,30,11.1786,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944166,0.0944118,0.0944118,15.3973,15.3973,6.66962,6.6695,6.66929,6.66962,6.6695,6.66962,6.6695,-1.24E-05,-5.31E-05,-4.36E-05,-1.24E-05,-1.33E-05,-1.33E-05,-5.31E-05,-5.31E-05,-5.39E-05,-5.39E-05,-4.36E-05,-4.36E-05,-4.43E-05,-4.43E-05,1910.75,1910.5,1885.55,1910.75,1910.5,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.19,1887.79,1862.89,1910.89,1910.5,1885.55,-2.98E-08,48.926,48.926,0,12854020,-2.98E-08,48.7569,48.7569,0,12854020,-2.98E-08,47.3093,47.3094,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814989,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6604.8,6609.81,6602.58,6594.34,0,0,0,0,0,0,0,10.209,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157498,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2357,0,27.2361,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944118,30,30,30,11.1785,11.1365,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943699,0.0943651,0.0943651,15.3973,15.3973,6.66963,6.66951,6.66929,6.66963,6.66951,6.66963,6.66951,-2.10E-05,-6.06E-05,-5.11E-05,-2.10E-05,-2.18E-05,-2.18E-05,-6.06E-05,-6.06E-05,-6.13E-05,-6.13E-05,-5.11E-05,-5.11E-05,-5.17E-05,-5.17E-05,1910.72,1910.47,1885.52,1910.72,1910.47,1885.52,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.16,1887.77,1862.84,1910.86,1910.46,1885.51,-2.98E-08,48.9254,48.9254,0,12854020,-2.98E-08,48.7571,48.757,0,12854020,-2.98E-08,47.3093,47.3092,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815001,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.59,6607.84,6605.98,6610.4,0,0,0,0,0,0,0,10.2104,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157489,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2377,0,27.2381,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943651,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943265,0.0943222,0.0943222,15.3973,15.3973,6.66964,6.66951,6.6693,6.66964,6.66951,6.66964,6.66951,-2.96E-05,-6.77E-05,-5.85E-05,-2.96E-05,-3.06E-05,-3.06E-05,-6.77E-05,-6.77E-05,-6.85E-05,-6.85E-05,-5.85E-05,-5.85E-05,-5.93E-05,-5.93E-05,1910.7,1910.42,1885.47,1910.69,1910.42,1885.47,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.11,1887.71,1862.78,1910.83,1910.41,1885.46,-2.98E-08,48.9249,48.9249,0,12854020,-2.98E-08,48.7577,48.7576,0,12854020,-2.98E-08,47.3099,47.3099,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815013,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6610.3,6603.39,6612.01,6600.66,0,0,0,0,0,0,0,10.212,17.7578,13.5821,2.5,2.5,34.2773,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157456,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2398,0,27.2402,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943222,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
