rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945177,0.0945125,0.0945125,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,2.42E-07,-4.13E-05,-3.36E-05,2.42E-07,2.42E-07,2.42E-07,-4.13E-05,-4.13E-05,-4.13E-05,-4.13E-05,-3.36E-05,-3.36E-05,-3.36E-05,-3.36E-05,1910.82,1910.53,1885.58,1910.82,1910.53,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.28,1887.88,1862.98,1910.94,1910.53,1885.57,-2.98E-08,48.9275,48.9276,0,12854020,-2.98E-08,48.7575,48.7575,0,12854020,-2.98E-08,47.3098,47.3098,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814966,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603.87,6595.01,6616.6,6601.17,0,0,0,0,0,0,0,10.2067,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157448,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2324,0,27.2327,326.952,292.67,333.416,333.458,15.3974,15.3974,0.0945125,30,30,30,11.1787,11.1368,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944648,0.0944595,0.0944595,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-6.11E-06,-4.74E-05,-3.87E-05,-6.11E-06,-6.11E-06,-6.11E-06,-4.74E-05,-4.74E-05,-4.74E-05,-4.74E-05,-3.87E-05,-3.87E-05,-3.87E-05,-3.87E-05,1910.78,1910.51,1885.56,1910.77,1910.51,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.24,1887.84,1862.94,1910.91,1910.5,1885.55,-2.98E-08,48.9266,48.9267,0,12854020,-2.98E-08,48.7574,48.7574,0,12854020,-2.98E-08,47.3097,47.3097,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814978,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6594.08,6609.69,6608,6612.46,0,0,0,0,0,0,0,10.208,17.7579,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157477,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.234,0,27.2344,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944595,30,30,30,11.1786,11.1367,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944152,0.0944099,0.0944099,15.3973,15.3973,6.66962,6.6695,6.66929,6.66963,6.6695,6.66963,6.6695,-1.27E-05,-5.33E-05,-4.39E-05,-1.27E-05,-1.27E-05,-1.27E-05,-5.33E-05,-5.33E-05,-5.33E-05,-5.33E-05,-4.39E-05,-4.39E-05,-4.39E-05,-4.39E-05,1910.74,1910.5,1885.55,1910.74,1910.49,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.21,1887.81,1862.9,1910.88,1910.49,1885.55,-2.98E-08,48.926,48.9261,0,12854020,-2.98E-08,48.757,48.7571,0,12854020,-2.98E-08,47.3092,47.3093,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.81499,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6593.96,6615.43,6617.51,6607.15,0,0,0,0,0,0,0,10.2091,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157499,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2359,0,27.2363,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944099,30,30,30,11.1785,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943675,0.0943627,0.0943627,15.3973,15.3973,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,-2.01E-05,-5.95E-05,-4.99E-05,-2.01E-05,-2.01E-05,-2.01E-05,-5.95E-05,-5.95E-05,-5.95E-05,-5.95E-05,-4.99E-05,-4.99E-05,-4.99E-05,-4.99E-05,1910.72,1910.47,1885.52,1910.72,1910.46,1885.52,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.15,1887.75,1862.84,1910.85,1910.45,1885.51,-2.98E-08,48.9255,48.9255,0,12854020,-2.98E-08,48.7571,48.757,0,12854020,-2.98E-08,47.3092,47.3091,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815002,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6593.66,6596.6,6593.1,6602.86,0,0,0,0,0,0,0,10.2107,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157486,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2379,0,27.2383,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943627,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943236,0.0943198,0.0943198,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-2.90E-05,-6.69E-05,-5.73E-05,-2.90E-05,-2.90E-05,-2.90E-05,-6.69E-05,-6.69E-05,-6.69E-05,-6.69E-05,-5.73E-05,-5.73E-05,-5.73E-05,-5.73E-05,1910.7,1910.41,1885.47,1910.69,1910.41,1885.47,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.11,1887.71,1862.78,1910.83,1910.41,1885.46,-2.98E-08,48.925,48.9251,0,12854020,-2.98E-08,48.7577,48.7576,0,12854020,-2.98E-08,47.3098,47.3098,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815015,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6608.34,6615.18,6603.03,6616.62,0,0,0,0,0,0,0,10.2123,17.7578,13.5821,2.50001,2.5,34.2773,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157454,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2401,0,27.2405,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943198,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942841,0.0942798,0.0942798,15.3973,15.3973,6.66964,6.66952,6.66931,6.66964,6.66952,6.66964,6.66952,-3.88E-05,-7.45E-05,-6.52E-05,-3.88E-05,-3.88E-05,-3.88E-05,-7.45E-05,-7.45E-05,-7.45E-05,-7.45E-05,-6.52E-05,-6.52E-05,-6.52E-05,-6.52E-05,1910.64,1910.38,1885.44,1910.63,1910.38,1885.43,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.07,1887.67,1862.76,1910.79,1910.38,1885.43,-2.98E-08,48.9248,48.9248,0,12854020,-2.98E-08,48.7582,48.7581,0,12854020,-2.98E-08,47.3104,47.3103,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815027,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6597.87,6597.9,6610.7,6593.51,0,0,0,0,0,0,0,10.2137,17.7577,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157456,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2424,0,27.2429,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942798,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942473,0.094244,0.094244,15.3973,15.3973,6.66965,6.66953,6.66931,6.66965,6.66953,6.66965,6.66953,-4.87E-05,-8.16E-05,-7.26E-05,-4.87E-05,-4.87E-05,-4.87E-05,-8.16E-05,-8.16E-05,-8.16E-05,-8.16E-05,-7.26E-05,-7.26E-05,-7.26E-05,-7.26E-05,1910.58,1910.35,1885.41,1910.58,1910.35,1885.4,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.04,1887.64,1862.71,1910.76,1910.35,1885.4,-2.98E-08,48.9247,48.9247,0,12854020,-2.98E-08,48.7588,48.7587,0,12854020,-2.98E-08,47.3109,47.3109,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815039,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.89,6602.13,6609.04,6613.54,0,0,0,0,0,0,0,10.2154,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157488,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.245,0,27.2456,326.952,292.67,333.416,333.458,15.3973,15.3973,0.094244,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.094214,0.0942106,0.0942106,15.3973,15.3973,6.66966,6.66953,6.66932,6.66965,6.66953,6.66965,6.66953,-5.81E-05,-8.78E-05,-7.95E-05,-5.81E-05,-5.81E-05,-5.81E-05,-8.78E-05,-8.78E-05,-8.78E-05,-8.78E-05,-7.95E-05,-7.95E-05,-7.95E-05,-7.95E-05,1910.54,1910.33,1885.38,1910.54,1910.33,1885.38,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1887.99,1887.59,1862.67,1910.72,1910.32,1885.38,-2.98E-08,48.925,48.925,0,12854020,-2.98E-08,48.7593,48.7593,0,12854020,-2.98E-08,47.3114,47.3114,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815051,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6613.73,6616.49,6597.25,6596.72,0,0,0,0,0,0,0,10.2171,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157501,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2479,0,27.2485,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942106,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0941834,0.0941806,0.0941806,15.3973,15.3973,6.66967,6.66955,6.66933,6.66967,6.66955,6.66967,6.66955,-6.82E-05,-9.17E-05,-8.54E-05,-6.82E-05,-6.82E-05,-6.82E-05,-9.17E-05,-9.17E-05,-9.17E-05,-9.17E-05,-8.54E-05,-8.54E-05,-8.54E-05,-8.54E-05,1910.51,1910.3,1885.36,1910.51,1910.3,1885.36,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1887.99,1887.64,1862.71,1910.68,1910.3,1885.36,-2.98E-08,48.9256,48.9255,0,12854020,-2.98E-08,48.7598,48.7597,0,12854020,-2.98E-08,47.3118,47.3117,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815064,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6592.23,6599.42,6600.19,6613.14,0,0,0,0,0,0,0,10.2191,17.7575,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157476,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.251,0,27.2516,326.953,292.67,333.416,333.458,15.3973,15.3973,0.0941806,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0941553,0.0941525,0.0941525,15.3973,15.3973,6.66969,6.66956,6.66935,6.66969,6.66957,6.66969,6.66957,-7.49E-05,-9.01E-05,-8.63E-05,-7.49E-05,-7.49E-05,-7.49E-05,-9.01E-05,-9.01E-05,-9.01E-05,-9.01E-05,-8.63E-05,-8.63E-05,-8.63E-05,-8.63E-05,1910.5,1910.29,1885.35,1910.5,1910.29,1885.35,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1887.99,1887.65,1862.71,1910.65,1910.29,1885.35,-2.98E-08,48.9263,48.9262,0,12854020,-2.98E-08,48.7599,48.7599,0,12854020,-2.98E-08,47.3119,47.3119,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815076,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6616,6599.12,6605.19,6610.08,0,0,0,0,0,0,0,10.2214,17.7574,13.5821,2.50001,2.5,34.2774,34.2774,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015745,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2543,0,27.255,326.953,292.671,333.416,333.458,15.3973,15.3973,0.0941525,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
