rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack,3ris001po_p_pack,3ris002po_p_pack,3rcv001po_p_pack,3rcv002po_p_pack,3rcv003po_p_pack,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0947008,0.0946946,0.0946946,15.3975,15.3975,6.66965,6.66952,6.66931,6.66965,6.66952,6.66965,6.66952,2.78714e-05,-1.6926e-05,-6.11867e-06,2.78714e-05,2.78714e-05,2.78714e-05,-1.6926e-05,-1.6926e-05,-1.6926e-05,-1.6926e-05,-6.11867e-06,-6.11867e-06,-6.11867e-06,-6.11867e-06,1910.96,1910.61,1885.65,1910.96,1910.6,1885.65,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.37,1887.99,1863.05,1911.01,1910.6,1885.65,-2.98023e-08,48.9312,48.9313,0,12854020,-2.98023e-08,48.7583,48.7584,0,12854020,-2.98023e-08,47.3105,47.3106,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814928,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6592.78,6610.45,6601.58,6594.82,0,0,0,0,0,0,0,10.2041,17.7581,13.5822,2.49999,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157491,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2284,0,27.2286,326.953,292.67,333.416,333.458,15.3975,15.3975,0.0947008,30,30,30,11.1793,11.1374,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0946374,0.0946312,0.0946312,15.3974,15.3974,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,1.91605e-05,-2.46438e-05,-1.48034e-05,1.91605e-05,1.91605e-05,1.91605e-05,-2.46438e-05,-2.46438e-05,-2.46438e-05,-2.46438e-05,-1.48034e-05,-1.48034e-05,-1.48034e-05,-1.48034e-05,1910.92,1910.59,1885.63,1910.92,1910.58,1885.63,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.33,1887.93,1863,1910.99,1910.58,1885.63,-2.98023e-08,48.9299,48.93,0,12854020,-2.98023e-08,48.758,48.758,0,12854020,-2.98023e-08,47.3101,47.3102,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81494,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6593.98,6600.44,6617.9,6611.18,0,0,0,0,0,0,0,10.2048,17.758,13.5822,2.49999,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157495,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2295,0,27.2297,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0946374,30,30,30,11.1791,11.1372,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945768,0.0945716,0.0945716,15.3974,15.3974,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,9.8701e-06,-3.26983e-05,-2.38316e-05,9.8701e-06,9.8701e-06,9.8701e-06,-3.26983e-05,-3.26983e-05,-3.26983e-05,-3.26983e-05,-2.38316e-05,-2.38316e-05,-2.38316e-05,-2.38316e-05,1910.87,1910.56,1885.61,1910.87,1910.56,1885.6,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.29,1887.9,1862.95,1910.97,1910.56,1885.6,-2.98023e-08,48.9286,48.9288,0,12854020,-2.98023e-08,48.7577,48.7577,0,12854020,-2.98023e-08,47.3099,47.3099,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814952,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6615.37,6609.94,6601.63,6609.8,0,0,0,0,0,0,0,10.2057,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157465,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2308,0,27.2311,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0945768,30,30,30,11.1789,11.137,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945215,0.0945158,0.0945158,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,1.42125e-06,-4.01934e-05,-3.17952e-05,1.42125e-06,1.42125e-06,1.42125e-06,-4.01934e-05,-4.01934e-05,-4.01934e-05,-4.01934e-05,-3.17952e-05,-3.17952e-05,-3.17952e-05,-3.17952e-05,1910.83,1910.54,1885.58,1910.82,1910.54,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.29,1887.89,1862.98,1910.95,1910.53,1885.58,-2.98023e-08,48.9275,48.9276,0,12854020,-2.98023e-08,48.7575,48.7575,0,12854020,-2.98023e-08,47.3097,47.3097,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814964,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6598.32,6594.59,6604.94,6613.31,0,0,0,0,0,0,0,10.2067,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157447,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2322,0,27.2325,326.952,292.67,333.416,333.458,15.3974,15.3974,0.0945215,30,30,30,11.1787,11.1368,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944686,0.0944633,0.0944633,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-5.30569e-06,-4.6048e-05,-3.75594e-05,-5.30569e-06,-5.30569e-06,-5.30569e-06,-4.6048e-05,-4.6048e-05,-4.6048e-05,-4.6048e-05,-3.75594e-05,-3.75594e-05,-3.75594e-05,-3.75594e-05,1910.78,1910.52,1885.56,1910.78,1910.52,1885.56,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.24,1887.84,1862.93,1910.92,1910.51,1885.56,-2.98023e-08,48.9267,48.9268,0,12854020,-2.98023e-08,48.7574,48.7574,0,12854020,-2.98023e-08,47.3096,47.3096,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814977,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6601.82,6603.4,6617.02,6613.09,0,0,0,0,0,0,0,10.208,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157473,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2338,0,27.2341,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944686,30,30,30,11.1786,11.1367,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944176,0.0944133,0.0944133,15.3973,15.3973,6.66962,6.6695,6.66929,6.66962,6.6695,6.66962,6.6695,-1.21536e-05,-5.20775e-05,-4.34465e-05,-1.21536e-05,-1.21536e-05,-1.21536e-05,-5.20775e-05,-5.20775e-05,-5.20775e-05,-5.20775e-05,-4.34465e-05,-4.34465e-05,-4.34465e-05,-4.34465e-05,1910.75,1910.5,1885.55,1910.75,1910.5,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.2,1887.8,1862.89,1910.89,1910.5,1885.55,-2.98023e-08,48.926,48.9261,0,12854020,-2.98023e-08,48.757,48.757,0,12854020,-2.98023e-08,47.3092,47.3093,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814989,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6595.22,6610.4,6612.37,6604.43,0,0,0,0,0,0,0,10.2093,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157498,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2355,0,27.2359,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944176,30,30,30,11.1785,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943704,0.0943661,0.0943661,15.3973,15.3973,6.66963,6.66951,6.66929,6.66963,6.66951,6.66963,6.66951,-1.98618e-05,-5.87608e-05,-5.03141e-05,-1.98618e-05,-1.98618e-05,-1.98618e-05,-5.87608e-05,-5.87608e-05,-5.87608e-05,-5.87608e-05,-5.03141e-05,-5.03141e-05,-5.03141e-05,-5.03141e-05,1910.72,1910.47,1885.52,1910.72,1910.47,1885.52,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.15,1887.76,1862.84,1910.86,1910.46,1885.51,-2.98023e-08,48.9255,48.9255,0,12854020,-2.98023e-08,48.7569,48.7569,0,12854020,-2.98023e-08,47.3091,47.309,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815001,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603.89,6594.7,6610.05,6607.04,0,0,0,0,0,0,0,10.2104,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157489,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2375,0,27.2379,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943704,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943265,0.0943227,0.0943227,15.3973,15.3973,6.66964,6.66951,6.6693,6.66964,6.66951,6.66964,6.66951,-2.8858e-05,-6.61816e-05,-5.80653e-05,-2.8858e-05,-2.8858e-05,-2.8858e-05,-6.61816e-05,-6.61816e-05,-6.61816e-05,-6.61816e-05,-5.80653e-05,-5.80653e-05,-5.80653e-05,-5.80653e-05,1910.7,1910.42,1885.47,1910.7,1910.42,1885.47,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.11,1887.71,1862.79,1910.83,1910.41,1885.46,-2.98023e-08,48.925,48.9251,0,12854020,-2.98023e-08,48.7576,48.7575,0,12854020,-2.98023e-08,47.3098,47.3097,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815013,0,100,100.983,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6615.94,6610.91,6608.82,6592.95,0,0,0,0,0,0,0,10.212,17.7578,13.5821,2.5,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157456,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2396,0,27.2401,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943265,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942864,0.0942836,0.0942836,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-3.85639e-05,-7.39031e-05,-6.6035e-05,-3.85639e-05,-3.85639e-05,-3.85639e-05,-7.39031e-05,-7.39031e-05,-7.39031e-05,-7.39031e-05,-6.6035e-05,-6.6035e-05,-6.6035e-05,-6.6035e-05,1910.64,1910.39,1885.44,1910.63,1910.39,1885.43,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.08,1887.68,1862.75,1910.8,1910.38,1885.43,-2.98023e-08,48.9247,48.9247,0,12854020,-2.98023e-08,48.7581,48.758,0,12854020,-2.98023e-08,47.3104,47.3103,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815026,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6608.56,6599.49,6615.21,6592.29,0,0,0,0,0,0,0,10.2134,17.7577,13.5821,2.5,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157453,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2419,0,27.2424,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942864,30,30,30,11.1782,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942497,0.0942464,0.0942464,15.3973,15.3973,6.66965,6.66952,6.66931,6.66965,6.66952,6.66965,6.66952,-4.82094e-05,-8.09013e-05,-7.34198e-05,-4.82094e-05,-4.82094e-05,-4.82094e-05,-8.09013e-05,-8.09013e-05,-8.09013e-05,-8.09013e-05,-7.34198e-05,-7.34198e-05,-7.34198e-05,-7.34198e-05,1910.59,1910.36,1885.41,1910.58,1910.36,1885.41,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.03,1887.64,1862.72,1910.76,1910.35,1885.4,-2.98023e-08,48.9247,48.9247,0,12854020,-2.98023e-08,48.7587,48.7586,0,12854020,-2.98023e-08,47.3109,47.3109,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815038,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6607.95,6604.02,6601.24,6616.1,0,0,0,0,0,0,0,10.2151,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157485,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2444,0,27.245,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942497,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,
