rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack,3ris001po_p_pack,3ris002po_p_pack,3rcv001po_p_pack,3rcv002po_p_pack,3rcv003po_p_pack,3RIS_P1__001PO_C__II01(1),3RIS_P1__001PO_C__II01(2),3RCV_P1__001PO_C__II01(1),3RCV_P1__001PO_C__II01(2),3RCV_P2__002PO_C__II01(1),3RCV_P2__002PO_C__II01(2),3RCV_P2__003PO_C__II01(1),3RCV_P2__003PO_C__II01(2),3RIS_P2__002PO_C__II01(1),3RIS_P2__002PO_C__II01(2),
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0946536,0.0946479,0.0946479,15.3975,15.3975,6.66964,6.66952,6.6693,6.66964,6.66951,6.66964,6.66951,2.24436e-05,-2.19225e-05,-1.15862e-05,2.24436e-05,2.15782e-05,2.15782e-05,-2.19225e-05,-2.19225e-05,-2.26749e-05,-2.26749e-05,-1.15862e-05,-1.15862e-05,-1.24831e-05,-1.24831e-05,1910.93,1910.59,1885.64,1910.93,1910.59,1885.64,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.35,1887.97,1863.01,1911,1910.59,1885.63,-2.98023e-08,48.9303,48.9305,0,12854020,-2.98023e-08,48.7581,48.7581,0,12854020,-2.98023e-08,47.3103,47.3103,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814936,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6616.34,6606.08,6610.31,6603.69,0,0,0,0,0,0,0,10.2047,17.758,13.5822,2.49999,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157498,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2292,0,27.2294,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0946479,30,30,30,11.1791,11.1372,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945926,0.0945868,0.0945868,15.3974,15.3974,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,1.31031e-05,-3.01214e-05,-2.10516e-05,1.31031e-05,1.21988e-05,1.21988e-05,-3.01214e-05,-3.01214e-05,-3.09567e-05,-3.09567e-05,-2.10516e-05,-2.10516e-05,-2.19634e-05,-2.19634e-05,1910.89,1910.57,1885.62,1910.89,1910.57,1885.62,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.31,1887.91,1862.98,1910.98,1910.57,1885.61,-2.98023e-08,48.9291,48.9292,0,12854020,-2.98023e-08,48.7577,48.7578,0,12854020,-2.98023e-08,47.3099,47.3099,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814949,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.93,6601.05,6616.73,6604.54,0,0,0,0,0,0,0,10.2057,17.758,13.5822,2.49999,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157476,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2305,0,27.2308,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0945868,30,30,30,11.1789,11.137,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945358,0.0945296,0.0945296,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,3.60544e-06,-3.82189e-05,-2.98976e-05,3.60544e-06,2.75797e-06,2.75797e-06,-3.82189e-05,-3.82189e-05,-3.90604e-05,-3.90604e-05,-2.98976e-05,-2.98976e-05,-3.06196e-05,-3.06196e-05,1910.85,1910.55,1885.59,1910.84,1910.55,1885.59,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.27,1887.88,1862.97,1910.96,1910.54,1885.59,-2.98023e-08,48.9278,48.928,0,12854020,-2.98023e-08,48.7575,48.7575,0,12854020,-2.98023e-08,47.3097,47.3097,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814961,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6611.67,6602.04,6596.7,6611.58,0,0,0,0,0,0,0,10.2064,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157448,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2319,0,27.2322,326.952,292.67,333.416,333.457,15.3974,15.3974,0.0945296,30,30,30,11.1788,11.1369,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944815,0.0944767,0.0944767,15.3973,15.3973,6.66962,6.66949,6.66928,6.66962,6.66949,6.66962,6.66949,-3.86129e-06,-4.52681e-05,-3.61286e-05,-3.86129e-06,-4.58692e-06,-4.58692e-06,-4.52681e-05,-4.52681e-05,-4.59072e-05,-4.59072e-05,-3.61286e-05,-3.61286e-05,-3.67171e-05,-3.67171e-05,1910.8,1910.52,1885.57,1910.79,1910.52,1885.57,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.25,1887.85,1862.95,1910.93,1910.52,1885.56,-2.98023e-08,48.9269,48.927,0,12854020,-2.98023e-08,48.7573,48.7573,0,12854020,-2.98023e-08,47.3096,47.3096,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814973,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6595.44,6610.18,6599.14,6594.44,0,0,0,0,0,0,0,10.2077,17.7579,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157463,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2334,0,27.2337,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944767,30,30,30,11.1786,11.1367,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944304,0.0944257,0.0944257,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-1.08891e-05,-5.16501e-05,-4.18049e-05,-1.08891e-05,-1.16797e-05,-1.16797e-05,-5.16501e-05,-5.16501e-05,-5.22886e-05,-5.22886e-05,-4.18049e-05,-4.18049e-05,-4.23833e-05,-4.23833e-05,1910.76,1910.51,1885.55,1910.76,1910.51,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.21,1887.82,1862.9,1910.9,1910.51,1885.55,-2.98023e-08,48.9261,48.9261,0,12854020,-2.98023e-08,48.7569,48.757,0,12854020,-2.98023e-08,47.3093,47.3093,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814985,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.03,6611.86,6593.33,6613.84,0,0,0,0,0,0,0,10.2089,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157493,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2352,0,27.2355,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944257,30,30,30,11.1785,11.1365,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.983,100.983,100.981,100.981,0.0943828,0.094378,0.094378,15.3973,15.3973,6.66963,6.66951,6.66929,6.66963,6.66951,6.66963,6.66951,-1.86757e-05,-5.8248e-05,-4.78998e-05,-1.86757e-05,-1.9565e-05,-1.9565e-05,-5.8248e-05,-5.8248e-05,-5.89146e-05,-5.89146e-05,-4.78998e-05,-4.78998e-05,-4.8542e-05,-4.8542e-05,1910.73,1910.48,1885.53,1910.73,1910.48,1885.53,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.17,1887.78,1862.87,1910.87,1910.47,1885.53,-2.98023e-08,48.9254,48.9255,0,12854020,-2.98023e-08,48.7568,48.7567,0,12854020,-2.98023e-08,47.309,47.309,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814997,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6601.35,6594.88,6601.1,6616.88,0,0,0,0,0,0,0,10.2103,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157496,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2371,0,27.2375,326.952,292.67,333.416,333.458,15.3973,15.3973,0.094378,30,30,30,11.1784,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943379,0.0943336,0.0943336,15.3973,15.3973,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,-2.73917e-05,-6.55515e-05,-5.50345e-05,-2.73917e-05,-2.83179e-05,-2.83179e-05,-6.55515e-05,-6.55515e-05,-6.63065e-05,-6.63065e-05,-5.50345e-05,-5.50345e-05,-5.57972e-05,-5.57972e-05,1910.71,1910.43,1885.48,1910.71,1910.42,1885.48,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.13,1887.73,1862.81,1910.84,1910.42,1885.48,-2.98023e-08,48.9249,48.925,0,12854020,-2.98023e-08,48.7575,48.7574,0,12854020,-2.98023e-08,47.3096,47.3095,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81501,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6598.15,6600.75,6598.36,6616.4,0,0,0,0,0,0,0,10.2114,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157466,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2391,0,27.2396,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943336,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942969,0.0942926,0.0942926,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-3.70536e-05,-7.33628e-05,-6.30626e-05,-3.70536e-05,-3.81759e-05,-3.81759e-05,-7.33628e-05,-7.33628e-05,-7.41739e-05,-7.41739e-05,-6.30626e-05,-6.30626e-05,-6.39229e-05,-6.39229e-05,1910.65,1910.4,1885.45,1910.65,1910.39,1885.45,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.07,1887.68,1862.77,1910.81,1910.39,1885.45,-2.98023e-08,48.9245,48.9245,0,12854020,-2.98023e-08,48.7579,48.7579,0,12854020,-2.98023e-08,47.3101,47.31,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815022,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6592.12,6616.19,6605.79,6593.54,0,0,0,0,0,0,0,10.213,17.7577,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157449,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2414,0,27.2419,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942926,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942593,0.0942569,0.0942569,15.3973,15.3973,6.66964,6.66952,6.66931,6.66964,6.66952,6.66964,6.66952,-4.72631e-05,-8.05794e-05,-7.06232e-05,-4.72631e-05,-4.83597e-05,-4.83597e-05,-8.05794e-05,-8.05794e-05,-8.13945e-05,-8.13945e-05,-7.06232e-05,-7.06232e-05,-7.14771e-05,-7.14771e-05,1910.59,1910.37,1885.42,1910.59,1910.36,1885.42,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.04,1887.64,1862.73,1910.77,1910.36,1885.41,-2.98023e-08,48.9244,48.9244,0,12854020,-2.98023e-08,48.7585,48.7585,0,12854020,-2.98023e-08,47.3107,47.3106,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815034,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6600.61,6594.89,6617.37,6606.56,0,0,0,0,0,0,0,10.2144,17.7577,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157476,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2439,0,27.2444,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942569,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942254,0.0942221,0.0942221,15.3973,15.3973,6.66965,6.66953,6.66931,6.66965,6.66953,6.66965,6.66953,-5.72362e-05,-8.75365e-05,-7.8019e-05,-5.72362e-05,-5.81571e-05,-5.81571e-05,-8.75365e-05,-8.75365e-05,-8.81343e-05,-8.81343e-05,-7.8019e-05,-7.8019e-05,-7.86695e-05,-7.86695e-05,1910.54,1910.33,1885.39,1910.54,1910.33,1885.39,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.02,1887.62,1862.7,1910.73,1910.33,1885.39,-2.98023e-08,48.9246,48.9246,0,12854020,-2.98023e-08,48.7592,48.7591,0,12854020,-2.98023e-08,47.3112,47.3112,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815046,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.86,6597.14,6591.94,6607.87,0,0,0,0,0,0,0,10.2164,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.01575,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2467,0,27.2473,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942221,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,
