rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack,3ris001po_p_pack,3ris002po_p_pack,3rcv001po_p_pack,3rcv002po_p_pack,3rcv003po_p_pack,3RIS_P1__001PO_C__II01(1),3RIS_P1__001PO_C__II01(2),3RIS_P2__002PO_C__II01(1),3RIS_P2__002PO_C__II01(2),3RCV_P1__001PO_C__II01(1),3RCV_P1__001PO_C__II01(2),3RCV_P2__002PO_C__II01(1),3RCV_P2__002PO_C__II01(2),3RCV_P2__003PO_C__II01(1),3RCV_P2__003PO_C__II01(2),3apg004md_a_pnt,3APG_N1__501KU_S1__PNT,3APG_N1__501KU_O1__PNT,3APG_N1__501KU_O2__FORCEDVALUE,3APG_N1__501KU_S2__FORCEDVALUE,3APG_N1__501KU_S__PAKCO,3apg501ku_p_pack,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945134,0.0945082,0.0945082,15.3974,15.3974,6.66961,6.66949,6.66927,6.66961,6.66949,6.66961,6.66949,1.5031e-06,-3.99682e-05,-3.21976e-05,1.5031e-06,8.0041e-07,8.0041e-07,-3.99682e-05,-3.99682e-05,-4.05441e-05,-4.05441e-05,-3.21976e-05,-3.21976e-05,-3.26995e-05,-3.26995e-05,1910.82,1910.54,1885.58,1910.82,1910.54,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.28,1887.89,1862.99,1910.94,1910.53,1885.58,-2.98023e-08,48.9275,48.9276,0,12854020,-2.98023e-08,48.7575,48.7575,0,12854020,-2.98023e-08,47.3098,47.3098,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814966,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6593.2,6616.63,6591.78,6595.15,0,0,0,0,0,0,0,10.207,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157448,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2325,0,27.2328,326.952,292.67,333.416,333.457,15.3974,15.3974,0.0945082,30,30,30,11.1787,11.1368,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2392,65.2391,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944605,0.0944552,0.0944552,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-4.95696e-06,-4.57844e-05,-3.68833e-05,-4.95696e-06,-5.62611e-06,-5.62611e-06,-4.57844e-05,-4.57844e-05,-4.63791e-05,-4.63791e-05,-3.68833e-05,-3.68833e-05,-3.73845e-05,-3.73845e-05,1910.78,1910.52,1885.56,1910.78,1910.52,1885.56,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.25,1887.85,1862.93,1910.92,1910.51,1885.55,-2.98023e-08,48.9267,48.9267,0,12854020,-2.98023e-08,48.7573,48.7573,0,12854020,-2.98023e-08,47.3098,47.3098,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814978,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6595.56,6611.27,6608.44,6600.08,0,0,0,0,0,0,0,10.208,17.7579,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157477,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2341,0,27.2345,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944552,30,30,30,11.1786,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2393,65.2393,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944095,0.0944052,0.0944052,15.3973,15.3973,6.66962,6.6695,6.66929,6.66962,6.6695,6.66962,6.6695,-1.253e-05,-5.21438e-05,-4.2422e-05,-1.253e-05,-1.33446e-05,-1.33446e-05,-5.21438e-05,-5.21438e-05,-5.28088e-05,-5.28088e-05,-4.2422e-05,-4.2422e-05,-4.30125e-05,-4.30125e-05,1910.75,1910.5,1885.55,1910.74,1910.5,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.2,1887.81,1862.89,1910.89,1910.5,1885.55,-2.98023e-08,48.926,48.926,0,12854020,-2.98023e-08,48.7569,48.757,0,12854020,-2.98023e-08,47.3094,47.3094,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81499,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6606.53,6610.54,6603.38,6604.96,0,0,0,0,0,0,0,10.2093,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157499,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2359,0,27.2363,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944052,30,30,30,11.1784,11.1365,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2395,65.2395,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943627,0.0943575,0.0943575,15.3973,15.3973,6.66963,6.66951,6.66929,6.66963,6.66951,6.66963,6.66951,-2.06197e-05,-5.9004e-05,-4.88065e-05,-2.06197e-05,-2.151e-05,-2.151e-05,-5.9004e-05,-5.9004e-05,-5.97759e-05,-5.97759e-05,-4.88065e-05,-4.88065e-05,-4.95428e-05,-4.95428e-05,1910.72,1910.47,1885.52,1910.72,1910.46,1885.52,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.16,1887.76,1862.83,1910.86,1910.46,1885.51,-2.98023e-08,48.9254,48.9255,0,12854020,-2.98023e-08,48.7571,48.757,0,12854020,-2.98023e-08,47.3093,47.3092,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815002,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6611.64,6609.8,6608.91,6597.8,0,0,0,0,0,0,0,10.2107,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157486,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2379,0,27.2383,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943575,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2397,65.2397,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943184,0.0943141,0.0943141,15.3973,15.3973,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,-3.03573e-05,-6.68587e-05,-5.65441e-05,-3.03573e-05,-3.13439e-05,-3.13439e-05,-6.68587e-05,-6.68587e-05,-6.76262e-05,-6.76262e-05,-5.65441e-05,-5.65441e-05,-5.73222e-05,-5.73222e-05,1910.69,1910.42,1885.47,1910.69,1910.41,1885.47,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.11,1887.71,1862.79,1910.83,1910.41,1885.46,-2.98023e-08,48.925,48.925,0,12854020,-2.98023e-08,48.7577,48.7576,0,12854020,-2.98023e-08,47.3099,47.3099,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815015,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6617.55,6604.26,6607.18,6609.82,0,0,0,0,0,0,0,10.212,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157454,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0,27.2404,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943141,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2399,65.2399,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942788,0.094275,0.094275,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-4.05757e-05,-7.47569e-05,-6.46483e-05,-4.05757e-05,-4.17038e-05,-4.17038e-05,-7.47569e-05,-7.47569e-05,-7.56624e-05,-7.56624e-05,-6.46483e-05,-6.46483e-05,-6.55846e-05,-6.55846e-05,1910.63,1910.39,1885.44,1910.63,1910.38,1885.44,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.06,1887.66,1862.75,1910.8,1910.38,1885.43,-2.98023e-08,48.9247,48.9247,0,12854020,-2.98023e-08,48.7582,48.7581,0,12854020,-2.98023e-08,47.3104,47.3103,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815027,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6599.55,6605.58,6615.97,6597.25,0,0,0,0,0,0,0,10.2137,17.7577,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157456,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2423,0,27.2428,326.952,292.67,333.416,333.458,15.3973,15.3973,0.094275,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2401,65.2401,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942421,0.0942388,0.0942388,15.3973,15.3973,6.66964,6.66952,6.66931,6.66964,6.66952,6.66964,6.66952,-5.0936e-05,-8.25368e-05,-7.27845e-05,-5.0936e-05,-5.20119e-05,-5.20119e-05,-8.25368e-05,-8.25368e-05,-8.33369e-05,-8.33369e-05,-7.27845e-05,-7.27845e-05,-7.36263e-05,-7.36263e-05,1910.58,1910.36,1885.41,1910.58,1910.35,1885.41,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.03,1887.63,1862.72,1910.76,1910.35,1885.4,-2.98023e-08,48.9247,48.9247,0,12854020,-2.98023e-08,48.7588,48.7587,0,12854020,-2.98023e-08,47.311,47.3109,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815039,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6604.67,6600.33,6593.36,6593.46,0,0,0,0,0,0,0,10.2154,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157488,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.245,0,27.2455,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942388,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9525,66.9532,65.2402,65.2402,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942097,0.0942063,0.0942063,15.3973,15.3973,6.66965,6.66953,6.66931,6.66965,6.66953,6.66965,6.66953,-6.04883e-05,-8.90492e-05,-7.97159e-05,-6.04883e-05,-6.14706e-05,-6.14706e-05,-8.90492e-05,-8.90492e-05,-8.9674e-05,-8.9674e-05,-7.97159e-05,-7.97159e-05,-8.03752e-05,-8.03752e-05,1910.54,1910.33,1885.38,1910.53,1910.33,1885.38,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888,1887.6,1862.69,1910.72,1910.32,1885.38,-2.98023e-08,48.925,48.925,0,12854020,-2.98023e-08,48.7594,48.7593,0,12854020,-2.98023e-08,47.3115,47.3115,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815051,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6598.3,6606.26,6596,6612.54,0,0,0,0,0,0,0,10.2171,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157501,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2478,0,27.2484,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942063,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9525,66.9532,65.2404,65.2403,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0941792,0.0941758,0.0941758,15.3973,15.3973,6.66966,6.66954,6.66933,6.66966,6.66954,6.66966,6.66954,-6.95543e-05,-9.19418e-05,-8.51265e-05,-6.95543e-05,-7.04383e-05,-7.04383e-05,-9.19418e-05,-9.19418e-05,-9.20151e-05,-9.20151e-05,-8.51265e-05,-8.51265e-05,-8.5512e-05,-8.5512e-05,1910.51,1910.31,1885.36,1910.51,1910.31,1885.36,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1887.98,1887.63,1862.67,1910.68,1910.3,1885.36,-2.98023e-08,48.9256,48.9255,0,12854020,-2.98023e-08,48.7598,48.7598,0,12854020,-2.98023e-08,47.3119,47.3118,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815064,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.29,6607.79,6600.13,6603.62,0,0,0,0,0,0,0,10.2191,17.7575,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157476,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2509,0,27.2515,326.953,292.67,333.416,333.458,15.3973,15.3973,0.0941758,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9525,66.9532,65.2405,65.2405,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.094151,0.0941477,0.0941477,15.3973,15.3973,6.66968,6.66956,6.66935,6.66968,6.66956,6.66968,6.66956,-7.66551e-05,-9.09312e-05,-8.75695e-05,-7.66551e-05,-7.71348e-05,-7.71348e-05,-9.09312e-05,-9.09312e-05,-9.06615e-05,-9.06615e-05,-8.75695e-05,-8.75695e-05,-8.7602e-05,-8.7602e-05,1910.5,1910.3,1885.35,1910.5,1910.3,1885.35,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1887.99,1887.64,1862.7,1910.65,1910.29,1885.35,-2.98023e-08,48.9263,48.9262,0,12854020,-2.98023e-08,48.7599,48.7599,0,12854020,-2.98023e-08,47.3119,47.3119,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815076,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.76,6598.56,6597.37,6614.4,0,0,0,0,0,0,0,10.2212,17.7574,13.5821,2.50001,2.5,34.2774,34.2774,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015745,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2542,0,27.2549,326.953,292.671,333.416,333.458,15.3973,15.3973,0.0941477,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9526,66.9532,65.2406,65.2406,66.9532,0,262912,
