rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack,3ris001po_p_pack,3ris002po_p_pack,3rcv001po_p_pack,3rcv002po_p_pack,3rcv003po_p_pack,3RIS_P1__001PO_C__II01(1),3RIS_P1__001PO_C__II01(2),3RIS_P2__002PO_C__II01(1),3RIS_P2__002PO_C__II01(2),3RCV_P1__001PO_C__II01(1),3RCV_P1__001PO_C__II01(2),3RCV_P2__002PO_C__II01(1),3RCV_P2__002PO_C__II01(2),3RCV_P2__003PO_C__II01(1),3RCV_P2__003PO_C__II01(2),3apg004md_a_pnt,3APG_N1__501KU_S1__PNT,3APG_N1__501KU_O1__PNT,3APG_N1__501KU_O2__FORCEDVALUE,3APG_N1__501KU_S2__FORCEDVALUE,3APG_N1__501KU_S__PAKCO,3apg501ku_p_pack,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0948262,0.0948186,0.0948186,15.3976,15.3976,6.66967,6.66955,6.66934,6.66967,6.66955,6.66967,6.66955,4.37903e-05,-2.25463e-06,9.24314e-06,4.37903e-05,4.37903e-05,4.37903e-05,-2.25463e-06,-2.25463e-06,-2.25463e-06,-2.25463e-06,9.24314e-06,9.24314e-06,9.24314e-06,9.24314e-06,1911.01,1910.63,1885.68,1911.01,1910.63,1885.68,15,15,0,0,0,0,0,0,15.3674,3700,3700,3700,0.1,0.1,0.1,1888.45,1888.06,1863.13,1911.02,1910.63,1885.68,-2.98023e-08,48.9336,48.9337,0,12854020,-2.98023e-08,48.7593,48.7594,0,12854020,-2.98023e-08,47.3115,47.3115,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814906,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6592.26,6615,6615.72,6603,0,0,0,0,0,0,0,10.2026,17.7581,13.5823,2.49998,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157446,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2268,0,27.2269,326.953,292.67,333.416,333.458,15.3976,15.3976,0.0948262,30,30,30,11.1797,11.1378,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2382,65.2382,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0947552,0.0947485,0.0947485,15.3975,15.3975,6.66966,6.66954,6.66932,6.66966,6.66954,6.66966,6.66954,3.57868e-05,-9.71511e-06,7.11857e-07,3.57868e-05,3.57868e-05,3.57868e-05,-9.71511e-06,-9.71511e-06,-9.71511e-06,-9.71511e-06,7.11857e-07,7.11857e-07,7.11857e-07,7.11857e-07,1910.98,1910.62,1885.67,1910.98,1910.62,1885.66,15,15,0,0,0,0,0,0,15.3674,3700,3700,3700,0.1,0.1,0.1,1888.4,1888.01,1863.08,1911.01,1910.62,1885.66,-2.98023e-08,48.9324,48.9325,0,12854020,-2.98023e-08,48.7588,48.7588,0,12854020,-2.98023e-08,47.311,47.311,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814918,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6608.2,6607.02,6609.23,6604.39,0,0,0,0,0,0,0,10.2032,17.7581,13.5822,2.49999,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157468,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2276,0,27.2278,326.953,292.67,333.416,333.458,15.3975,15.3975,0.0947552,30,30,30,11.1794,11.1375,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2384,65.2384,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0946884,0.0946817,0.0946817,15.3975,15.3975,6.66964,6.66952,6.66931,6.66964,6.66952,6.66964,6.66952,2.70622e-05,-1.75785e-05,-8.09525e-06,2.70622e-05,2.70622e-05,2.70622e-05,-1.75785e-05,-1.75785e-05,-1.75785e-05,-1.75785e-05,-8.09525e-06,-8.09525e-06,-8.09525e-06,-8.09525e-06,1910.95,1910.6,1885.65,1910.95,1910.6,1885.65,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.37,1887.99,1863.04,1911,1910.6,1885.64,-2.98023e-08,48.9311,48.9312,0,12854020,-2.98023e-08,48.7583,48.7583,0,12854020,-2.98023e-08,47.3105,47.3106,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81493,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6591.64,6607.01,6604.01,6601.07,0,0,0,0,0,0,0,10.2041,17.7581,13.5822,2.49999,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157495,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2286,0,27.2288,326.953,292.67,333.416,333.458,15.3975,15.3975,0.0946884,30,30,30,11.1792,11.1373,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2386,65.2386,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0946245,0.0946188,0.0946188,15.3974,15.3974,6.66963,6.66951,6.66929,6.66963,6.66951,6.66963,6.66951,1.81845e-05,-2.53006e-05,-1.69131e-05,1.81845e-05,1.81845e-05,1.81845e-05,-2.53006e-05,-2.53006e-05,-2.53006e-05,-2.53006e-05,-1.69131e-05,-1.69131e-05,-1.69131e-05,-1.69131e-05,1910.91,1910.58,1885.63,1910.91,1910.58,1885.62,15,15,0,0,0,0,0,0,15.3673,3700,3700,3700,0.1,0.1,0.1,1888.32,1887.92,1863,1910.99,1910.58,1885.62,-2.98023e-08,48.9298,48.9299,0,12854020,-2.98023e-08,48.758,48.758,0,12854020,-2.98023e-08,47.3102,47.3102,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814942,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6609.95,6615.61,6604.4,6598.4,0,0,0,0,0,0,0,10.2051,17.758,13.5822,2.49999,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157491,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2297,0,27.2299,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0946245,30,30,30,11.179,11.1371,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2388,65.2388,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945654,0.0945601,0.0945601,15.3974,15.3974,6.66962,6.6695,6.66928,6.66962,6.66949,6.66962,6.66949,8.86237e-06,-3.359e-05,-2.5981e-05,8.86237e-06,8.86237e-06,8.86237e-06,-3.359e-05,-3.359e-05,-3.359e-05,-3.359e-05,-2.5981e-05,-2.5981e-05,-2.5981e-05,-2.5981e-05,1910.87,1910.56,1885.6,1910.87,1910.56,1885.6,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.26,1887.88,1862.97,1910.97,1910.55,1885.6,-2.98023e-08,48.9285,48.9286,0,12854020,-2.98023e-08,48.7577,48.7577,0,12854020,-2.98023e-08,47.3099,47.3099,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814955,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6616.1,6613.59,6607.92,6600.04,0,0,0,0,0,0,0,10.2058,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157459,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.231,0,27.2313,326.953,292.67,333.416,333.458,15.3974,15.3974,0.0945654,30,30,30,11.1789,11.1369,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.239,65.2389,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945106,0.0945048,0.0945048,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,-5.76825e-08,-4.19629e-05,-3.35911e-05,-5.76825e-08,-5.76825e-08,-5.76825e-08,-4.19629e-05,-4.19629e-05,-4.19629e-05,-4.19629e-05,-3.35911e-05,-3.35911e-05,-3.35911e-05,-3.35911e-05,1910.82,1910.53,1885.58,1910.82,1910.53,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.27,1887.87,1862.97,1910.94,1910.53,1885.57,-2.98023e-08,48.9274,48.9275,0,12854020,-2.98023e-08,48.7574,48.7574,0,12854020,-2.98023e-08,47.3098,47.3098,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814967,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6612.41,6615.95,6608.92,6594.25,0,0,0,0,0,0,0,10.207,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015745,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2325,0,27.2328,326.952,292.67,333.416,333.458,15.3974,15.3974,0.0945106,30,30,30,11.1787,11.1368,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2392,65.2391,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944581,0.0944533,0.0944533,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-6.75171e-06,-4.83126e-05,-3.85081e-05,-6.75171e-06,-6.75171e-06,-6.75171e-06,-4.83126e-05,-4.83126e-05,-4.83126e-05,-4.83126e-05,-3.85081e-05,-3.85081e-05,-3.85081e-05,-3.85081e-05,1910.78,1910.51,1885.55,1910.78,1910.51,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.24,1887.84,1862.93,1910.92,1910.51,1885.55,-2.98023e-08,48.9265,48.9266,0,12854020,-2.98023e-08,48.7572,48.7573,0,12854020,-2.98023e-08,47.3097,47.3097,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814979,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.93,6598.77,6599.1,6598.91,0,0,0,0,0,0,0,10.208,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015748,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2341,0,27.2344,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944581,30,30,30,11.1786,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2393,65.2393,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.094408,0.0944028,0.0944028,15.3973,15.3973,6.66962,6.6695,6.66929,6.66962,6.6695,6.66962,6.6695,-1.39949e-05,-5.47441e-05,-4.41883e-05,-1.39949e-05,-1.39949e-05,-1.39949e-05,-5.47441e-05,-5.47441e-05,-5.47441e-05,-5.47441e-05,-4.41883e-05,-4.41883e-05,-4.41883e-05,-4.41883e-05,1910.74,1910.5,1885.55,1910.74,1910.5,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.19,1887.79,1862.88,1910.88,1910.5,1885.54,-2.98023e-08,48.9258,48.9259,0,12854020,-2.98023e-08,48.7567,48.7568,0,12854020,-2.98023e-08,47.3092,47.3092,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814991,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6611.14,6605.47,6613.99,6604.76,0,0,0,0,0,0,0,10.2093,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157499,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2359,0,27.2362,326.952,292.67,333.416,333.458,15.3973,15.3973,0.094408,30,30,30,11.1785,11.1365,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2395,65.2395,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943613,0.0943565,0.0943565,15.3973,15.3973,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,-2.22357e-05,-6.17925e-05,-5.06342e-05,-2.22357e-05,-2.22357e-05,-2.22357e-05,-6.17925e-05,-6.17925e-05,-6.17925e-05,-6.17925e-05,-5.06342e-05,-5.06342e-05,-5.06342e-05,-5.06342e-05,1910.72,1910.46,1885.52,1910.72,1910.45,1885.51,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.14,1887.74,1862.84,1910.86,1910.44,1885.51,-2.98023e-08,48.9253,48.9253,0,12854020,-2.98023e-08,48.7571,48.757,0,12854020,-2.98023e-08,47.3092,47.3092,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815004,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6608.86,6617.18,6599.61,6606.27,0,0,0,0,0,0,0,10.2107,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157483,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2379,0,27.2383,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943613,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2397,65.2397,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943184,0.0943146,0.0943146,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-3.12596e-05,-6.92227e-05,-5.8102e-05,-3.12596e-05,-3.12596e-05,-3.12596e-05,-6.92227e-05,-6.92227e-05,-6.92227e-05,-6.92227e-05,-5.8102e-05,-5.8102e-05,-5.8102e-05,-5.8102e-05,1910.69,1910.41,1885.46,1910.69,1910.41,1885.46,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.08,1887.68,1862.78,1910.83,1910.4,1885.46,-2.98023e-08,48.9248,48.9248,0,12854020,-2.98023e-08,48.7578,48.7577,0,12854020,-2.98023e-08,47.3099,47.3098,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815016,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6601.48,6614.52,6592.9,6616.4,0,0,0,0,0,0,0,10.2121,17.7577,13.5821,2.5,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157452,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2401,0,27.2405,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943184,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2399,65.2399,66.9532,0,262912,
