rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack,3ris001po_p_pack,3ris002po_p_pack,3rcv001po_p_pack,3rcv002po_p_pack,3rcv003po_p_pack,3RIS_P1__001PO_C__II01(1),3RIS_P1__001PO_C__II01(2),3RIS_P2__002PO_C__II01(1),3RIS_P2__002PO_C__II01(2),3RCV_P1__001PO_C__II01(1),3RCV_P1__001PO_C__II01(2),3RCV_P2__002PO_C__II01(1),3RCV_P2__002PO_C__II01(2),3RCV_P2__003PO_C__II01(1),3RCV_P2__003PO_C__II01(2),3apg004md_a_pnt,3APG_N1__501KU_S1__PNT,3APG_N1__501KU_O1__PNT,3APG_N1__501KU_O2__FORCEDVALUE,3APG_N1__501KU_S2__FORCEDVALUE,3APG_N1__501KU_S__PAKCO,3apg501ku_p_pack,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0949998,0.0949922,0.0949922,15.3978,15.3978,6.66971,6.66959,6.66937,6.66971,6.66959,6.66971,6.66959,6.06363e-05,1.54828e-05,3.04314e-05,6.06363e-05,6.00097e-05,6.00097e-05,1.54828e-05,1.54828e-05,1.4744e-05,1.4744e-05,3.04314e-05,3.04314e-05,2.95752e-05,2.95752e-05,1911.03,1910.65,1885.7,1911.03,1910.65,1885.7,15,15,0,0,0,0,0,0,15.3676,3700,3700,3700,0.1,0.1,0.1,1888.54,1888.15,1863.23,1911.02,1910.65,1885.7,-2.98023e-08,48.9359,48.9359,0,12854020,-2.98023e-08,48.7608,48.7609,0,12854020,-2.98023e-08,47.3128,47.3129,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814878,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.45,6597.58,6610.42,6614.21,0,0,0,0,0,0,0,10.2013,17.7582,13.5825,2.49998,2.5,34.2775,34.2775,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157497,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2253,0,27.2255,326.953,292.67,333.416,333.458,15.3978,15.3978,0.0949922,30,30,30,11.1803,11.1384,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2378,65.2378,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0949216,0.094914,0.094914,15.3977,15.3977,6.66969,6.66957,6.66936,6.66969,6.66957,6.66969,6.66957,5.33275e-05,7.92588e-06,2.17345e-05,5.33275e-05,5.25238e-05,5.25238e-05,7.92588e-06,7.92588e-06,7.11607e-06,7.11607e-06,2.17345e-05,2.17345e-05,2.08239e-05,2.08239e-05,1911.03,1910.65,1885.69,1911.03,1910.65,1885.69,15,15,0,0,0,0,0,0,15.3675,3700,3700,3700,0.1,0.1,0.1,1888.49,1888.11,1863.18,1911.02,1910.65,1885.69,-2.98023e-08,48.935,48.9351,0,12854020,-2.98023e-08,48.7602,48.7602,0,12854020,-2.98023e-08,47.3123,47.3123,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81489,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6606.26,6615.3,6607.69,6596.22,0,0,0,0,0,0,0,10.2019,17.7582,13.5824,2.49998,2.5,34.2774,34.2774,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157479,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.226,0,27.2261,326.953,292.67,333.416,333.458,15.3977,15.3977,0.094914,30,30,30,11.18,11.1381,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.238,65.238,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945587,0.094553,0.094553,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,7.38085e-06,-3.48736e-05,-2.69417e-05,7.38085e-06,6.39386e-06,6.39386e-06,-3.48736e-05,-3.48736e-05,-3.56991e-05,-3.56991e-05,-2.69417e-05,-2.69417e-05,-2.79108e-05,-2.79108e-05,1910.86,1910.56,1885.6,1910.86,1910.55,1885.6,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.27,1887.89,1862.98,1910.97,1910.55,1885.6,-2.98023e-08,48.9284,48.9285,0,12854020,-2.98023e-08,48.7576,48.7577,0,12854020,-2.98023e-08,47.3098,47.3099,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814956,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603.94,6592.94,6610.84,6607.3,0,0,0,0,0,0,0,10.2061,17.758,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157456,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2314,0,27.2316,326.952,292.67,333.416,333.458,15.3974,15.3974,0.094553,30,30,30,11.1788,11.1369,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.239,65.239,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0945039,0.0944986,0.0944986,15.3974,15.3974,6.66961,6.66949,6.66928,6.66961,6.66949,6.66961,6.66949,-4.2175e-07,-4.2149e-05,-3.38992e-05,-4.2175e-07,-1.06014e-06,-1.06014e-06,-4.2149e-05,-4.2149e-05,-4.27349e-05,-4.27349e-05,-3.38992e-05,-3.38992e-05,-3.44286e-05,-3.44286e-05,1910.81,1910.53,1885.58,1910.81,1910.53,1885.58,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.28,1887.88,1862.97,1910.94,1910.52,1885.57,-2.98023e-08,48.9273,48.9274,0,12854020,-2.98023e-08,48.7575,48.7575,0,12854020,-2.98023e-08,47.3097,47.3098,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814968,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6609.69,6601.44,6611.47,6595.93,0,0,0,0,0,0,0,10.2073,17.7579,13.5822,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157451,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2328,0,27.2331,326.952,292.67,333.416,333.458,15.3974,15.3974,0.0944986,30,30,30,11.1787,11.1367,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2392,65.2392,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944519,0.0944462,0.0944462,15.3973,15.3973,6.66962,6.6695,6.66928,6.66962,6.6695,6.66962,6.6695,-6.45495e-06,-4.78091e-05,-3.88997e-05,-6.45495e-06,-7.14844e-06,-7.14844e-06,-4.78091e-05,-4.78091e-05,-4.84182e-05,-4.84182e-05,-3.88997e-05,-3.88997e-05,-3.94294e-05,-3.94294e-05,1910.77,1910.51,1885.55,1910.77,1910.51,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.23,1887.83,1862.93,1910.91,1910.5,1885.55,-2.98023e-08,48.9265,48.9266,0,12854020,-2.98023e-08,48.7573,48.7573,0,12854020,-2.98023e-08,47.3097,47.3097,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.81498,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6613.63,6612.7,6594.08,6611.91,0,0,0,0,0,0,0,10.2083,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157483,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2345,0,27.2348,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0944462,30,30,30,11.1786,11.1366,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2394,65.2394,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0944023,0.0943971,0.0943971,15.3973,15.3973,6.66963,6.6695,6.66929,6.66963,6.6695,6.66963,6.6695,-1.33302e-05,-5.38164e-05,-4.43903e-05,-1.33302e-05,-1.41015e-05,-1.41015e-05,-5.38164e-05,-5.38164e-05,-5.44761e-05,-5.44761e-05,-4.43903e-05,-4.43903e-05,-4.49858e-05,-4.49858e-05,1910.74,1910.5,1885.55,1910.74,1910.49,1885.55,15,15,0,0,0,0,0,0,15.3672,3700,3700,3700,0.1,0.1,0.1,1888.18,1887.78,1862.88,1910.88,1910.49,1885.54,-2.98023e-08,48.9259,48.9259,0,12854020,-2.98023e-08,48.7569,48.7569,0,12854020,-2.98023e-08,47.3092,47.3092,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.814992,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6611.12,6603.55,6592.17,6596.97,0,0,0,0,0,0,0,10.2096,17.7579,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.01575,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2363,0,27.2367,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943971,30,30,30,11.1784,11.1365,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2396,65.2396,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943551,0.0943508,0.0943508,15.3973,15.3973,6.66963,6.66951,6.6693,6.66963,6.66951,6.66963,6.66951,-2.17108e-05,-6.06906e-05,-5.12843e-05,-2.17108e-05,-2.26175e-05,-2.26175e-05,-6.06906e-05,-6.06906e-05,-6.13944e-05,-6.13944e-05,-5.12843e-05,-5.12843e-05,-5.20226e-05,-5.20226e-05,1910.72,1910.45,1885.51,1910.72,1910.45,1885.51,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.14,1887.74,1862.82,1910.85,1910.44,1885.5,-2.98023e-08,48.9253,48.9254,0,12854020,-2.98023e-08,48.7573,48.7572,0,12854020,-2.98023e-08,47.3094,47.3094,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815005,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6604.43,6609.76,6612.22,6614.22,0,0,0,0,0,0,0,10.2107,17.7578,13.5821,2.5,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157479,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2384,0,27.2388,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943508,30,30,30,11.1783,11.1364,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2398,65.2397,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0943127,0.0943084,0.0943084,15.3973,15.3973,6.66964,6.66952,6.6693,6.66964,6.66952,6.66964,6.66952,-3.12725e-05,-6.8564e-05,-5.93313e-05,-3.12725e-05,-3.22045e-05,-3.22045e-05,-6.8564e-05,-6.8564e-05,-6.9291e-05,-6.9291e-05,-5.93313e-05,-5.93313e-05,-6.01138e-05,-6.01138e-05,1910.68,1910.41,1885.46,1910.68,1910.41,1885.46,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.11,1887.71,1862.78,1910.82,1910.4,1885.45,-2.98023e-08,48.9249,48.9249,0,12854020,-2.98023e-08,48.7578,48.7578,0,12854020,-2.98023e-08,47.3101,47.31,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815017,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.45,6609.63,6610.87,6610.23,0,0,0,0,0,0,0,10.2124,17.7577,13.5821,2.50001,2.5,34.2772,34.2772,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015745,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2406,0,27.241,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0943084,30,30,30,11.1783,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.24,65.2399,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942736,0.0942698,0.0942698,15.3973,15.3973,6.66964,6.66952,6.66931,6.66964,6.66952,6.66964,6.66952,-4.12696e-05,-7.62885e-05,-6.73574e-05,-4.12696e-05,-4.22262e-05,-4.22262e-05,-7.62885e-05,-7.62885e-05,-7.69752e-05,-7.69752e-05,-6.73574e-05,-6.73574e-05,-6.80715e-05,-6.80715e-05,1910.62,1910.38,1885.43,1910.62,1910.38,1885.43,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.06,1887.66,1862.74,1910.79,1910.37,1885.43,-2.98023e-08,48.9246,48.9246,0,12854020,-2.98023e-08,48.7583,48.7583,0,12854020,-2.98023e-08,47.3106,47.3105,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815029,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6599.04,6607.83,6613.1,6595.89,0,0,0,0,0,0,0,10.214,17.7577,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157462,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.243,0,27.2435,326.952,292.67,333.416,333.458,15.3973,15.3973,0.0942698,30,30,30,11.1782,11.1363,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9524,66.9532,65.2401,65.2401,66.9532,0,262912,
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0942373,0.094234,0.094234,15.3973,15.3973,6.66965,6.66953,6.66931,6.66965,6.66953,6.66965,6.66953,-5.10581e-05,-8.30738e-05,-7.46348e-05,-5.10581e-05,-5.20661e-05,-5.20661e-05,-8.30738e-05,-8.30738e-05,-8.36892e-05,-8.36892e-05,-7.46348e-05,-7.46348e-05,-7.53431e-05,-7.53431e-05,1910.57,1910.35,1885.4,1910.57,1910.35,1885.4,15,15,0,0,0,0,0,0,15.3671,3700,3700,3700,0.1,0.1,0.1,1888.03,1887.63,1862.72,1910.75,1910.34,1885.4,-2.98023e-08,48.9246,48.9246,0,12854020,-2.98023e-08,48.759,48.7589,0,12854020,-2.98023e-08,47.3111,47.3111,0,12854020,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,-2.98023e-08,100,100,0,-2134629628,189.731,0.0120312,0.815042,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6594.42,6598.74,6599.85,6606.57,0,0,0,0,0,0,0,10.2157,17.7576,13.5821,2.50001,2.5,34.2773,34.2773,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157493,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2456,0,27.2461,326.952,292.67,333.416,333.458,15.3973,15.3973,0.094234,30,30,30,11.1782,11.1362,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104,1086586880,1086586880,1086586880,-2134638592,1640235008,0,0,0,0,0,0,0,0,0,0,66.9525,66.9532,65.2403,65.2402,66.9532,0,262912,
