rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack
0.4,0,0,0,0,0,5.00E+08,10,100.976,100.976,100.982,100.982,-0.151127,-0.152284,-0.152284,15.2256,15.2256,6.67465,6.67433,6.67411,6.67466,6.67434,6.67466,6.67434,0.0484385,-0.000671252,-0.000699321,0.0484385,0.0486077,0.0486077,-0.000671252,-0.000671252,-0.000661303,-0.000661303,-0.000699321,-0.000699321,-0.00068959,-0.00068959,1889.2,1907.06,1882.08,1889.11,1907.05,1882.07,15,15,0,0,0,0,0,0,15.1952,3700,3700,3.70E+08,0.1,0.1,0.1,1905.62,1882.32,1857.45,1894.83,1907.03,1882.05,-2.98E-08,47.9869,47.9971,0,12854020,-2.98E-08,48.5661,48.5678,0,12854020,-2.98E-08,47.1285,47.1301,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.815995,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6614.43,6604.45,6609.53,6599.63,0,0,0,0,0,0,0,18.8218,17.3399,13.4952,2.49862,2.5,34.1602,34.1612,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157473,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5232,0,38.6613,326.968,292.73,333.339,333.381,15.225,15.225,-0.152284,30,30,30,10.3346,10.2922,1074012928,1074012928,1074012928,1086591012,1086591012,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,5.41E+08,10,100.976,100.976,100.982,100.982,-0.162692,-0.163831,-0.163831,15.2207,15.2207,6.67484,6.67453,6.67431,6.67485,6.67453,6.67485,6.67453,0.0501184,-0.000574718,-0.000604641,0.0501184,0.050285,0.050285,-0.000574718,-0.000574718,-0.000565156,-0.000565156,-0.000604641,-0.000604641,-0.000595254,-0.000595254,1887.23,1906.94,1881.96,1887.13,1906.93,1881.95,15,15,0,0,0,0,0,0,15.1902,3700,3700,3.70E+08,0.1,0.1,0.1,1905.57,1882.37,1857.5,1893.54,1906.91,1881.94,-2.98E-08,47.8854,47.8954,0,12854020,-2.98E-08,48.549,48.5507,0,12854020,-2.98E-08,47.1125,47.1141,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816007,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6602.31,6604,6599.97,6617.35,0,0,0,0,0,0,0,19.3442,17.3093,13.4927,2.49866,2.5,34.1561,34.1569,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157501,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2167,0,39.3549,326.966,292.731,333.336,333.378,15.2202,15.2202,-0.163831,30,30,30,10.3108,10.2684,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,5.84E+08,10,100.976,100.976,100.982,100.982,-0.173993,-0.175117,-0.175117,15.2156,15.2156,6.67504,6.67472,6.67451,6.67505,6.67474,6.67505,6.67474,0.0517703,-0.00048223,-0.000514149,0.0517703,0.0519338,0.0519338,-0.00048223,-0.00048223,-0.000473452,-0.000473452,-0.000514149,-0.000514149,-0.000505553,-0.000505553,1885.22,1906.76,1881.79,1885.12,1906.75,1881.78,15,15,0,0,0,0,0,0,15.1853,3700,3700,3.70E+08,0.1,0.1,0.1,1905.49,1882.34,1857.47,1892.12,1906.72,1881.75,-2.98E-08,47.7868,47.7965,0,12854020,-2.98E-08,48.5338,48.5352,0,12854020,-2.98E-08,47.0984,47.0997,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.81602,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6599.78,6611.97,6602.97,6616.06,0,0,0,0,0,0,0,19.8729,17.278,13.4901,2.49868,2.5,34.1521,34.1529,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157523,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9181,0,40.059,326.963,292.732,333.333,333.375,15.2151,15.2151,-0.175117,30,30,30,10.2876,10.2451,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,6.28E+08,10,100.976,100.976,100.982,100.982,-0.185139,-0.186244,-0.186244,15.2108,15.2108,6.67523,6.67492,6.6747,6.67524,6.67493,6.67524,6.67493,0.0533915,-0.00040123,-0.000434878,0.0533915,0.0535519,0.0535519,-0.00040123,-0.00040123,-0.000393757,-0.000393757,-0.000434878,-0.000434878,-0.000427593,-0.000427593,1883.18,1906.56,1881.59,1883.08,1906.55,1881.58,15,15,0,0,0,0,0,0,15.1805,3700,3700,3.70E+08,0.1,0.1,0.1,1905.47,1882.31,1857.43,1890.6,1906.51,1881.55,-2.98E-08,47.6929,47.702,0,12854020,-2.98E-08,48.5206,48.5218,0,12854020,-2.98E-08,47.0862,47.0873,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816032,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6612.71,6617.25,6597.81,6596.98,0,0,0,0,0,0,0,20.3973,17.2463,13.4876,2.49871,2.5,34.1481,34.1489,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015751,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6197,0,40.7597,326.96,292.733,333.33,333.372,15.2103,15.2103,-0.186244,30,30,30,10.2655,10.2231,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,6.71E+08,10,100.976,100.976,100.982,100.982,-0.196148,-0.197242,-0.197242,15.2061,15.2061,6.67542,6.6751,6.67489,6.67543,6.67511,6.67543,6.67511,0.0549811,-0.000331208,-0.000366574,0.0549811,0.0551382,0.0551382,-0.000331208,-0.000331208,-0.000324707,-0.000324707,-0.000366574,-0.000366574,-0.000360281,-0.000360281,1881.16,1906.35,1881.39,1881.07,1906.34,1881.38,15,15,0,0,0,0,0,0,15.1759,3700,3700,3.70E+08,0.1,0.1,0.1,1905.46,1882.28,1857.41,1888.98,1906.31,1881.35,-2.98E-08,47.6053,47.6138,0,12854020,-2.98E-08,48.509,48.5101,0,12854020,-2.98E-08,47.0756,47.0766,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816044,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6607.82,6601.06,6603.71,6601.48,0,0,0,0,0,0,0,20.9171,17.2143,13.4853,2.49874,2.5,34.1442,34.145,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157478,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3223,0,41.4641,326.957,292.734,333.327,333.369,15.2057,15.2057,-0.197242,30,30,30,10.2441,10.2017,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,7.20E+08,10,100.976,100.976,100.982,100.982,-0.20705,-0.208137,-0.208137,15.2016,15.2016,6.6756,6.67528,6.67507,6.67561,6.67529,6.67561,6.67529,0.0565384,-0.000270667,-0.000308145,0.0565384,0.0566923,0.0566923,-0.000270667,-0.000270667,-0.000265332,-0.000265332,-0.000308145,-0.000308145,-0.000303015,-0.000303015,1879.25,1906.15,1881.21,1879.16,1906.14,1881.2,15,15,0,0,0,0,0,0,15.1714,3700,3700,3.70E+08,0.1,0.1,0.1,1905.5,1882.18,1857.32,1887.31,1906.11,1881.17,-2.98E-08,47.525,47.5327,0,12854020,-2.98E-08,48.4992,48.5001,0,12854020,-2.98E-08,47.0666,47.0674,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816056,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6609.26,6597.3,6594.2,6593.75,0,0,0,0,0,0,0,21.4365,17.182,13.4829,2.49877,2.5,34.1405,34.1412,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.015748,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0309,0,42.1731,326.954,292.735,333.324,333.366,15.2011,15.2011,-0.208137,30,30,30,10.2231,10.1807,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,7.67E+08,10,100.976,100.976,100.982,100.982,-0.217888,-0.21897,-0.21897,15.1971,15.1971,6.67578,6.67546,6.67524,6.67579,6.67546,6.67579,6.67546,0.0580643,-0.000221874,-0.000261364,0.0580643,0.0582152,0.0582152,-0.000221874,-0.000221874,-0.000217528,-0.000217528,-0.000261364,-0.000261364,-0.00025728,-0.00025728,1877.44,1905.95,1881.01,1877.35,1905.94,1881,15,15,0,0,0,0,0,0,15.167,3700,3700,3.70E+08,0.1,0.1,0.1,1905.54,1882.09,1857.22,1885.6,1905.91,1880.97,-2.98E-08,47.4525,47.4594,0,12854020,-2.98E-08,48.4912,48.4919,0,12854020,-2.98E-08,47.0594,47.0601,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816069,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6594.17,6602.62,6608.89,6612.7,0,0,0,0,0,0,0,21.9475,17.1495,13.4807,2.49879,2.5,34.1367,34.1375,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157512,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7335,0,42.8741,326.95,292.736,333.321,333.363,15.1967,15.1967,-0.21897,30,30,30,10.2027,10.1602,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,8.16E+08,10,100.976,100.976,100.982,100.982,-0.2287,-0.22978,-0.22978,15.1928,15.1928,6.67595,6.67563,6.67541,6.67596,6.67564,6.67596,6.67564,0.0595592,-0.000182759,-0.000224565,0.0595592,0.059707,0.059707,-0.000182759,-0.000182759,-0.000179189,-0.000179189,-0.000224565,-0.000224565,-0.000221238,-0.000221238,1875.76,1905.76,1880.83,1875.68,1905.75,1880.82,15,15,0,0,0,0,0,0,15.1626,3700,3700,3.70E+08,0.1,0.1,0.1,1905.61,1882.02,1857.14,1883.9,1905.72,1880.79,-2.98E-08,47.3879,47.394,0,12854020,-2.98E-08,48.4849,48.4855,0,12854020,-2.98E-08,47.0537,47.0543,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816081,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6599.14,6611.05,6592.12,6593.29,0,0,0,0,0,0,0,22.4554,17.1168,13.4785,2.49881,2.5,34.133,34.1338,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157525,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4463,0,43.5904,326.947,292.737,333.318,333.36,15.1923,15.1923,-0.22978,30,30,30,10.1826,10.1401,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,8.66E+08,10,100.976,100.976,100.982,100.982,-0.239508,-0.240589,-0.240589,15.1884,15.1884,6.67612,6.6758,6.67558,6.67613,6.67581,6.67613,6.67581,0.0610243,-0.000150044,-0.000193833,0.0610243,0.061169,0.061169,-0.000150044,-0.000150044,-0.000147449,-0.000147449,-0.000193833,-0.000193833,-0.000191408,-0.000191408,1874.24,1905.58,1880.66,1874.17,1905.57,1880.65,15,15,0,0,0,0,0,0,15.1583,3700,3700,3.70E+08,0.1,0.1,0.1,1905.72,1881.87,1856.98,1882.22,1905.55,1880.63,-2.98E-08,47.3309,47.3363,0,12854020,-2.98E-08,48.4797,48.4802,0,12854020,-2.98E-08,47.0492,47.0496,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816093,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6601.12,6604.28,6603.97,6611.64,0,0,0,0,0,0,0,22.9528,17.0841,13.4763,2.49882,2.5,34.1293,34.1301,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.01575,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1317,0,44.2556,326.944,292.738,333.315,333.357,15.188,15.188,-0.240589,30,30,30,10.1625,10.12,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
0.4,0,0,0,0,0,9.17E+08,10,100.976,100.976,100.982,100.982,-0.250333,-0.251417,-0.251417,15.1841,15.1841,6.67628,6.67596,6.67574,6.67629,6.67597,6.67629,6.67597,0.0624589,-0.000128361,-0.00017392,0.0624589,0.0626008,0.0626008,-0.000128361,-0.000128361,-0.000126697,-0.000126697,-0.00017392,-0.00017392,-0.000172443,-0.000172443,1872.88,1905.42,1880.51,1872.82,1905.42,1880.5,15,15,0,0,0,0,0,0,15.154,3700,3700,3.70E+08,0.1,0.1,0.1,1905.86,1881.72,1856.85,1880.59,1905.39,1880.48,-2.98E-08,47.2806,47.2854,0,12854020,-2.98E-08,48.4754,48.4758,0,12854020,-2.98E-08,47.0454,47.0458,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.816105,0,100,100.982,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6615.83,6592.35,6606.53,6611.71,0,0,0,0,0,0,0,23.3635,17.0541,13.4741,2.49883,2.5,34.1256,34.1264,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157474,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7114,0,44.8162,326.94,292.739,333.312,333.354,15.1836,15.1836,-0.251417,30,30,30,10.1425,10.0999,1074012928,1074012928,1074012928,-2134634492,-2134634492,-2134638592,-2134638592,-2134638588,-2134638588,262400,262400,1086595844,1086595844,271104
