,3are244vl_lc_opnt,3are244vl_lc_obk,are049md,3gct131vv_lc_opnt,3are033vl_lc_spnt,are044md,vvp009mp,sec004mp,rcv018md,3rcp003rs_p_pack,vvp014mp,rpa236ks,vvp011mp,3asg017vd_p_pack,3rcp002vp_lc_obk,3asg015vd_lc_obk,3rra025vp_control,are010mn,3are242vl_lc_spnt,3are243vl_p_pack,3are033vl_lc_obk,sap007sp,3ety502mp,3are244vl_lc_spnt,3rcp024mp_a_pnt,3rra024vp,3rra025vp,ety103mp,are020mn,3are032vl_lc_opnt,rcp039mp,3rcp037mp,3gct132vv_lc_opnt,ety104mp,3rcp002vp_lc_opnt,vvp008mp,asg403ks,sar003sp,rpn407km,ety013ks,3asg015vd_lc_opnt,3rcp001vp_lc_obk,3asg016vd_p_pack,3rcp007mn,vvp001md,3rra024vp_p_pack,3asg012vd_p_pack,3rcp004rs_c_c1,3rcp006rs_c_c5,3are031vl_lc_obk,rcv502ks,rcv017mp,3asg012vd_lc_opnt,3gct131vv_c_c7,3rcp039mp,3rcv046vp_lc_obk,3rcp001vp_p_pack,3are031vl_lc_opnt,3rcp004rs_c_c2,asg003km,3rcp004rs_p_pack,are059mn,3rcv046vp_p_pack,3are243vl_lc_sbk,3are242vl_lc_sbk,8ety501mp,3are031vl_p_pack,rpb309ks,sec003mp,rcv005md,are057mn,3rra025vp_p_pack,krt009ma,3are244vl_lc_sbk,rri014ks,asg011km,3ric200km,are058mn,3asg017vd_lc_opnt,vvp010mp,3gct132vv_lc_obk,rcv004mp,3rcp001rs_p_pack,rpn401km,sap001mp,3gct133vv_c_c7,3rcv013vp_lc_opnt,3rcp002rs_c_c1,3rcp003rs_c_c2,krt003ma,3rcp002vp_c_c7,krt002ma,rpa309ks,3ric203km,asg013km,3asg013vd_lc_obk,3rcv013vp_p_pack,3gct133vv_lc_obk,sar003sp.1,3rcv046vp_lc_opnt,3rcp001vp_lc_opnt,3are243vl_lc_obk,are055mn,3are032vl_p_pack,3gct132vv_c_c7,3gct133vv_lc_spnt,vvp002md,are047md,are030mn,3gct131vv_c_c8,3rcp002rs_c_c2,3gct131vv_lc_spnt,rcp008mn,3rcv013vp_lc_sbk,3rcp029mt,ety101mp,3asg012vd_lc_obk,3rcp002rs_p_pack,3rcp006rs_p_pack,3asg013vd_p_pack,3rcp006rs_c_c2,vvp003md,3rcp002vp_c_c8,3are242vl_lc_obk,3rcp006rs_c_c4,ety102mp,rpn403km,3rcp002vp_lc_spnt,are401km,rpn409km,3rcp005rs_c_c4,3rcv046vp_c_c8,are402km,are056mn,3are033vl_lc_opnt,3are244vl_p_pack,rri013ks,3asg014vd_lc_obk,3asg015vd_p_pack,3rcp003rs_c_c1,are045md,3rcp005rs_c_c2,are050md,3rcp006rs_c_c1,3rcp028mt,asg012km,3asg014vd_p_pack,are043md,asg401ks,krt008ma,are046md,3asg016vd_lc_obk,3ric100km,3ric103km,krt033ma,3are242vl_p_pack,rcp037mp,vvp013mp,are403km,rcp007mn,3rcv013vp_lc_obk,3are033vl_p_pack,3are242vl_lc_opnt,3gct133vv_lc_opnt,asg001km,rcp006mp,vvp007mp,3rcp001vp_c_c7,krt004ma,3asg016vd_lc_opnt,3are032vl_lc_obk,3rcp001rs_c_c2,3gct132vv_c_c8,are053mn,3are032vl_lc_spnt,rcp011mn,asg402ks,3gct131vv_lc_obk,are060mn,3asg014vd_lc_opnt,asg002km,3gct131vv_p_pack,3gct133vv_p_pack,3rcv013vp_lc_spnt,rcv520ks,3asg013vd_lc_opnt,3are243vl_lc_opnt,3rcp001vp_lc_spnt,3are033vl_lc_sbk,are054mn,3rcv046vp_lc_spnt,3gct133vv_c_c8,lhb001mu,3are032vl_lc_sbk,krt026ma,3gct132vv_lc_spnt,3rcp001vp_c_c8,3rcp005rs_p_pack,3rcp005rs_c_c1,3are031vl_lc_sbk,lha001mu,3are243vl_lc_spnt,are052mn,krt034ma,are048md,krt007ma,3rcp005rs_c_c5,krt032ma,3rcp002vp_p_pack,3gct132vv_p_pack,3are031vl_lc_spnt,lgb001mu,3rcp001rs_c_c1,lgc001mu,3asg017vd_lc_obk
0,100.0,100.0,15.0,0,0,1910.16,6.66954,0.0120312,10.2458,-2134638592,6.66976,0,6.66976,-2134638332,0,100,30,-8.93e-05,0,-2134629628,47.3085,0,100.981,0,0.0157461,30,30,100.981,-6.94e-05,48.7555,15.3976,15.3976,0,100.981,0,6.66976,0,0,1.0,0,100,0,-2134638332,0.0939569,1887.9,262400,-2134638332,0,0,48.9288,0,17.7564,100,0,15.3976,27.2927,1086595844,48.9288,0,0.0,-2134638592,-6.94e-05,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.5823,-7.69e-05,262400,82794.1,-2.98e-08,0,0.0,333.459,-8.93e-05,100,6.66988,0,2.50002,1086588932,1.0,0.815185,0,34.2778,0,0,3700,0,3700,0,11.1367,0.0,100,262912,0,0,27.2917,0,100.0,-8.93e-05,12854020,0,7.75029,1887.55,1910.15,-7.69e-05,0,0,7.75029,0.093955,2.5,292.673,100.975,100,1086588932,1086586884,-2134638332,0,1862.6,0,100.0,0,100.975,0.001,0,1910.53,0.001,0,0,1910.15,-6.94e-05,47.3085,-2134629628,0,100,-2134638332,0,1885.19,0,15.0,0,326.954,0.0,-2134638332,1910.48,0,10,1910.48,100,333.417,11.1787,0.1,-2134629628,15.3976,6.66988,1885.19,0.0939569,34.2778,12854020,100.0,0,0.0,15.3675,6.66988,0,3700.0,100,48.7555,0,0,-6.94e-05,0,0.093955,0,0,-7.69e-05,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-7.69e-05,0,0,6592.97,-2.98e-08,50,7.75029,0,1086586884,0,-2.98e-08,6614.13,0,-8.93e-05,0.1,1885.19,37000.0,0,0.1,1086595844,1074012928,0,6594.87,0,6616.34,100
10,100.0,100.0,15.0,0,0,1907.69,6.67255,0.0120312,14.0531,-2134638592,6.67279,0,6.67279,-2134638332,0,100,30,0.0352673,0,-2134629628,47.1202,0,100.981,0,0.0157455,30,30,100.981,-0.00214669,48.5599,15.2553,15.2553,0,100.981,0,6.67276,0,0,1.0,0,100,0,-2134638332,-0.050848,1915.53,262400,-2134638332,0,0,48.599,0,17.599,100,0,15.2553,32.313,1086595844,48.5996,0,0.0,-2134638592,-0.00214669,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.5103,-0.00218509,262400,82794.1,-2.98e-08,0,0.0,333.399,0.0352673,100,6.67324,0,2.49768,1086588932,1.0,0.815307,0,34.1872,0,0,3700,0,3700,0,10.4277,0.0,100,262912,0,0,32.1485,0,100.0,0.0352673,12854020,0,7.75029,1876.85,1907.64,-0.00218509,0,0,7.75029,-0.052547,2.5,292.766,100.975,100,1086588932,1086586884,-2134638332,0,1851.9,0,100.0,0,100.975,0.001,0,1898.73,0.001,0,0,1907.5,-0.00214669,47.1196,-2134629628,0,100,-2134638332,0,1882.58,0,15.0,0,327.029,0.0,-2134638332,1892.13,0,10,1892.11,100,333.357,10.4697,0.1,-2134629628,15.2553,6.67324,1882.39,-0.050848,34.1858,12854020,100.0,0,0.0,15.2243,6.67322,0,370000000.0,100,48.5604,0,0,-0.00214669,0,-0.052547,0,0,-0.00218509,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-0.00218509,0,0,6592.61,-2.98e-08,50,7.75029,0,1086586884,0,-2.98e-08,6615.91,0,0.0352673,0.1,1882.53,165000000.0,0,0.1,1086595844,1074012928,0,6617.38,0,6613.0,100
20,100.0,100.0,15.0,0,0,1905.04,6.67667,0.0120312,21.2119,-2134638592,6.6769,0,6.6769,-2134638332,0,100,30,0.0662662,0,-2134629628,47.0826,0,100.981,0,0.0157471,30,30,100.981,-0.00133618,48.5212,15.1683,15.1675,0,100.981,0,6.67688,0,0,1.0,0,100,0,-2134638332,-0.227528,1913.8,262400,-2134638332,0,0,47.8631,0,17.2085,100,0,15.1675,41.6567,1086595844,47.8778,0,0.0,-2134638592,-0.00133618,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.466,-0.00136757,262400,82794.1,-2.98e-08,0,0.0,333.36,0.0662662,100,6.67732,0,2.49804,-2134634492,1.0,0.81543,0,34.1219,0,0,3700,0,3700,0,10.003,0.0,100,262912,0,0,41.4571,0,100.0,0.0662662,12854020,0,7.75029,1878.98,1905.04,-0.00136757,0,0,7.75029,-0.227528,2.5,292.768,100.975,100,-2134634492,-2134638588,-2134638332,0,1854.16,0,100.0,0,100.975,0.001,0,1889.92,0.001,0,0,1905.04,-0.00133618,47.0851,-2134629628,0,100,-2134638332,0,1880.06,0,15.0,0,326.994,0.0,-2134638332,1883.99,0,10,1883.87,100,333.318,10.045,0.1,-2134629628,15.1683,6.67732,1880.05,-0.225832,34.1207,12854020,100.0,0,0.0,15.1379,6.6773,0,370000000.0,100,48.5185,0,0,-0.00133618,0,-0.227528,0,0,-0.00136757,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-0.00136757,0,0,6603.12,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6615.99,0,0.0662662,0.1,1880.06,613000000.0,0,0.1,1086595844,1074012928,0,6607.25,0,6598.2,100
30,100.0,100.0,15.0,0,0,1902.71,6.67989,0.0120312,24.873,-2134638592,6.68011,0,6.68011,-2134638332,0,100,30,0.0904331,0,-2134629628,46.9025,0,100.982,0,0.0157496,30,30,100.982,-0.000283495,48.3253,15.0876,15.0867,0,100.982,0,6.6801,0,0,1.0,0,100,0,-2134638332,-0.397341,1913.79,262400,-2134638332,0,0,46.5721,0,16.9249,100,0,15.0867,46.3672,1086595844,46.5802,0,0.0,-2134638592,-0.000283495,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.4248,-0.000348149,262400,82794.1,-2.98e-08,0,0.0,333.311,0.0904331,100,6.68054,0,2.49797,-2134634492,1.0,0.815552,0,34.0588,0,0,3700,0,3700,0,9.62036,0.0,100,262912,0,0,46.3332,0,100.0,0.0904331,12854020,0,7.75029,1878.31,1902.7,-0.000348149,0,0,7.75029,-0.397341,2.5,292.781,100.976,100,-2134634492,-2134638588,-2134638332,0,1853.42,0,100.0,0,100.976,0.001,0,1868.24,0.001,0,0,1902.66,-0.000283495,46.9032,-2134629628,0,100,-2134638332,0,1877.8,0,15.0,0,326.943,0.0,-2134638332,1856.38,0,10,1856.28,100,333.269,9.66245,0.1,-2134629628,15.0876,6.68054,1877.75,-0.395617,34.0574,12854020,100.0,0,0.0,15.0575,6.68052,0,370000000.0,100,48.3246,0,0,-0.000283495,0,-0.397341,0,0,-0.000348149,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-0.000348149,0,0,6605.09,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6604.19,0,0.0904331,0.1,1877.79,1280000000.0,0,0.1,1086595844,1074012928,0,6601.05,0,6601.69,100
40,100.0,100.0,15.0,0,0,1901.31,6.6825,0.0120312,25.6692,-2134638592,6.68272,0,6.68272,-2134638332,0,100,30,0.110549,0,-2134629628,46.8149,0,100.982,0,0.0157515,30,30,100.982,-0.000163363,48.2307,14.9952,14.9952,0,100.982,0,6.68271,0,0,1.0,0,100,0,-2134638332,-0.579067,1914.47,262400,-2134638332,0,0,45.9361,0,16.8454,100,0,14.9952,46.9191,1086595844,45.9426,0,0.0,-2134638592,-0.000163363,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.3775,-0.000244652,262400,82794.1,-2.98e-08,0,0.0,333.256,0.110549,100,6.68317,0,2.49779,-2134634492,1.0,0.815682,0,33.9846,0,0,3700,0,3700,0,9.18365,0.0,100,262912,0,0,46.9223,0,100.0,0.110549,12854020,0,7.75029,1876.15,1901.3,-0.000244652,0,0,7.75029,-0.580796,2.5,292.785,100.976,100,-2134634492,-2134638588,-2134638332,0,1851.33,0,99.4538,0,100.976,0.001,0,1848.32,0.001,0,0,1901.29,-0.000163363,46.8164,-2134629628,0,100,-2134638332,0,1876.44,0,15.0,0,326.886,0.0,-2134638332,1841.45,0,10,1841.38,100,333.213,9.22577,0.1,12854020,14.9952,6.68317,1876.42,-0.579067,33.9832,12854020,99.4889,0,0.0,14.9653,6.68316,0,370000000.0,100,48.2292,0,0,-0.000163363,0,-0.580796,0,0,-0.000244652,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-0.000244652,0,0,6592.52,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6617.67,0,0.110549,0.1,1876.43,2150000000.0,0,0.1,1086595844,1074012928,0,6594.24,0,6614.82,100
50,100.0,100.0,15.0,0,0,1899.34,6.68464,0.0120312,25.831,-2134638592,6.68486,0,6.68486,-2134638332,0,100,30,0.124153,0,-2134629628,46.6843,0,100.982,0,0.0157502,30,30,100.982,-1.77e-05,48.0903,14.9073,14.9073,0,100.982,0,6.68485,0,0,1.0,0,100,0,-2134638332,-0.751277,1914.34,262400,-2134638332,0,0,45.3318,0,16.8213,100,0,14.9073,46.5137,1086595844,45.3362,0,0.0,-2134638592,-1.77e-05,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.3323,-0.000111916,262400,82794.1,-2.98e-08,0,0.0,333.204,0.124153,100,6.68532,0,2.49776,-2134634492,1.0,0.815804,0,33.9129,0,0,3700,0,3700,0,8.7619,0.0,100,262912,0,0,46.5246,0,100.0,0.124153,12854020,0,7.75029,1874.51,1899.33,-0.000111916,0,0,7.75029,-0.752993,2.5,292.787,100.976,100,-2134634492,-2134638588,-2134638332,0,1849.69,0,96.3237,0,100.976,0.001,0,1832.99,0.001,0,0,1899.3,-1.77e-05,46.6852,-2134629628,0,100,-2134638332,0,1874.51,0,15.0,0,326.833,0.0,-2134638332,1825.54,0,10,1825.47,100,333.162,8.80405,0.1,12854020,14.9073,6.68532,1874.47,-0.751277,33.9115,12854020,96.3515,0,0.0,14.8777,6.68531,0,370000000.0,100,48.0894,0,0,-1.77e-05,0,-0.752993,0,0,-0.000111916,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,-0.000111916,0,0,6606.49,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6603.96,0,0.124153,0.1,1874.5,3090000000.0,0,0.1,1086595844,1074012928,0,6608.11,0,6609.92,100
60,100.0,100.0,15.0,0,0,1897.6,6.68642,0.0120312,25.8526,-2134638592,6.68664,0,6.68664,-2134638332,0,100,30,0.133568,0,-2134629628,46.6033,0,100.982,0,0.0157482,30,30,100.982,0.000319777,48.0032,14.8206,14.8197,0,100.982,0,6.68663,0,0,1.0,0,100,0,-2134638332,-0.923854,1914.59,262400,-2134638332,0,0,45.0129,0,16.8098,100,0,14.8197,45.9244,1087644164,45.0156,0,0.0,-2134638592,0.000319777,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.2876,0.000216058,262400,82794.1,-2.98e-08,0,0.0,333.152,0.133568,100,6.68711,0,2.49778,-2134634492,1.0,0.815926,0,33.8416,0,0,3700,0,3700,0,8.33887,0.0,100,262912,0,0,45.9363,0,100.0,0.133568,12854020,0,7.75029,1873.37,1897.59,0.000216058,0,0,7.75029,-0.923854,2.5,292.789,100.976,100,-2134634492,-2134638588,-2134638332,0,1848.56,0,93.8185,0,100.976,0.001,0,1819.93,0.001,0,0,1897.57,0.000319777,46.6043,-2134629628,0,100,-2134638332,0,1872.8,0,15.0,0,326.78,0.0,-2134638332,1814.87,0,10,1814.83,100,333.11,8.38104,0.1,12854020,14.8206,6.68711,1872.77,-0.922153,33.8402,12854020,93.841,0,0.0,14.7911,6.6871,0,370000000.0,100,48.0022,0,0,0.000319777,0,-0.923854,0,0,0.000216058,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,0.000216058,0,0,6609.85,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6606.22,0,0.133568,0.1,1872.8,4120000000.0,0,0.1,1087644164,1074012928,0,6601.53,0,6612.27,100
70,100.0,100.0,15.0,0,0,1896.18,6.68774,0.0120312,25.8418,-2134638592,6.68795,0,6.68795,-2134638332,0,100,30,0.139746,0,-2134629628,46.511,0,100.982,0,0.0157473,30,30,100.982,0.000721741,47.904,14.7354,14.7345,0,100.982,0,6.68795,0,0,1.0,0,100,0,-2134638332,-1.09366,1914.92,262400,-2134638332,0,0,44.7237,0,16.8013,100,0,14.7345,45.34,1087644164,44.7265,0,0.0,-2134638592,0.000721741,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.2434,0.000620012,262400,82794.1,-2.98e-08,0,0.0,333.101,0.139746,100,6.68843,0,2.49781,-2134634492,1.0,0.816049,0,33.7712,0,0,3700,0,3700,0,7.92618,0.0,100,262912,0,0,45.3514,0,100.0,0.139746,12854020,0,7.75029,1872.8,1896.17,0.000620012,0,0,7.75029,-1.09366,2.5,292.786,100.976,100,-2134634492,-2134638588,-2134638332,0,1848.02,0,91.8038,0,100.976,0.001,0,1810.6,0.001,0,0,1896.15,0.000721741,46.5118,-2134629628,0,100,-2134638332,0,1871.42,0,15.0,0,326.729,0.0,-2134638332,1806.42,0,10,1806.38,100,333.059,7.96841,0.1,12854020,14.7354,6.68843,1871.39,-1.09196,33.7698,12854020,91.8217,0,0.0,14.706,6.68843,0,370000000.0,100,47.9031,0,0,0.000721741,0,-1.09366,0,0,0.000620012,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,0.000620012,0,0,6606.67,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6616.03,0,0.139746,0.1,1871.41,5200000000.0,0,0.1,1087644164,1074012928,0,6599.23,0,6605.16,100
80,100.0,100.0,15.0,0,0,1895.01,6.68853,0.0120312,25.8259,-2134638592,6.68874,0,6.68874,-2134638332,0,100,30,0.143054,0,-2134629628,46.4363,0,100.982,0,0.0157485,30,30,100.982,0.00101707,47.8236,14.651,14.6502,0,100.982,0,6.68874,0,0,1.0,0,100,0,-2134638332,-1.26308,1914.86,262400,-2134638332,0,0,44.4996,0,16.7937,100,0,14.6502,44.7863,1087644164,44.5015,0,0.0,-2134638592,0.00101707,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.1996,0.000922824,262400,82794.1,-2.98e-08,0,0.0,333.048,0.143054,100,6.68922,0,2.49783,-2134634492,1.0,0.816171,0,33.7012,0,0,3700,0,3700,0,7.5181,0.0,100,262912,0,0,44.797,0,100.0,0.143054,12854020,0,7.75029,1872.01,1895.0,0.000922824,0,0,7.75029,-1.26308,2.5,292.777,100.976,100,-2134634492,-2134638588,-2134638332,0,1847.25,0,90.2313,0,100.976,0.001,0,1802.68,0.001,0,0,1894.99,0.00101707,46.437,-2134629628,0,100,-2134638332,0,1870.26,0,15.0,0,326.675,0.0,-2134638332,1799.35,0,10,1799.32,100,333.006,7.56036,0.1,12854020,14.651,6.68922,1870.24,-1.26138,33.6998,12854020,90.2451,0,0.0,14.6217,6.68922,0,370000000.0,100,47.8229,0,0,0.00101707,0,-1.26308,0,0,0.000922824,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,0.000922824,0,0,6596.47,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6608.61,0,0.143054,0.1,1870.26,6310000000.0,0,0.1,1087644164,1074012928,0,6615.1,0,6603.17,100
90,100.0,100.0,15.0,0,0,1893.98,6.68896,0.0120312,25.8122,-2134638592,6.68918,0,6.68918,-2134638332,0,100,30,0.14406,0,-2134629628,46.3646,0,100.982,0,0.0157513,30,30,100.982,0.00107079,47.7473,14.5669,14.5669,0,100.982,0,6.68918,0,0,1.0,0,100,0,-2134638332,-1.43248,1914.17,262400,-2134638332,0,0,44.3209,0,16.7863,100,0,14.5669,44.2699,1087644164,44.3226,0,0.0,-2134638592,0.00107079,271104,-2.98e-08,-2.98e-08,100,12854020,0,189.731,13.1558,0.000984222,262400,82794.1,-2.98e-08,0,0.0,332.994,0.14406,100,6.68967,0,2.49785,-2134634492,1.0,0.816295,0,33.6315,0,0,3700,0,3700,0,7.11313,0.0,100,262912,0,0,44.2799,0,100.0,0.14406,12854020,0,7.75029,1870.9,1893.97,0.000984222,0,0,7.75029,-1.43416,2.5,292.766,100.976,100,-2134634492,-2134638588,-2134638332,0,1846.12,0,89.0196,0,100.976,0.001,0,1796.54,0.001,0,0,1893.96,0.00107079,46.3653,-2134629628,0,100,-2134638332,0,1869.24,0,15.0,0,326.62,0.0,-2134638332,1793.91,0,10,1793.89,100,332.952,7.15543,0.1,12854020,14.5669,6.68967,1869.22,-1.43248,33.6301,12854020,89.0299,0,0.0,14.5374,6.68966,0,370000000.0,100,47.7465,0,0,0.00107079,0,-1.43416,0,0,0.000984222,100,0.0,1074012928,1074012928,2.5,0,100,100.0,0,-2.98e-08,0.000984222,0,0,6612.89,-2.98e-08,50,7.75029,0,-2134638588,0,-2.98e-08,6613.08,0,0.14406,0.1,1869.24,7450000000.0,0,0.1,1087644164,1074012928,0,6599.62,0,6603.58,100
