,3are033vl_lc_spnt,krt033ma,3rcp005rs_c_c1,3rra024vp_p_pack,3asg016vd_lc_obk,3rcp002vp_lc_spnt,3asg013vd_lc_opnt,3asg017vd_lc_opnt,3rcp002vp_c_c8,are053mn,asg403ks,3are242vl_lc_obk,lha001mu,3are243vl_lc_obk,3ric100km,are402km,3are032vl_lc_obk,3asg012vd_p_pack,rpb309ks,asg402ks,3gct131vv_lc_spnt,3asg013vd_p_pack,krt003ma,3asg017vd_lc_obk,3rcp002vp_p_pack,vvp003md,3are031vl_lc_obk,3gct133vv_lc_obk,3are243vl_lc_opnt,3rcv013vp_lc_opnt,rcp008mn,are058mn,krt026ma,rcp037mp,3are033vl_lc_sbk,3asg014vd_lc_opnt,rpn407km,krt007ma,krt034ma,3rcp004rs_c_c2,are403km,are052mn,3asg014vd_lc_obk,3are243vl_p_pack,3rcp005rs_p_pack,vvp002md,3rcp002rs_c_c1,3rcp002vp_lc_obk,3are033vl_lc_obk,3rcp001vp_c_c8,3are031vl_p_pack,3asg015vd_p_pack,sec004mp,are020mn,rcv004mp,3rcp001vp_p_pack,vvp011mp,3gct133vv_p_pack,rpn401km,3are031vl_lc_opnt,3rcv046vp_c_c8,asg013km,3are031vl_lc_sbk,3gct132vv_lc_obk,3gct133vv_c_c7,ety103mp,3rra024vp,3rcp006rs_c_c4,asg002km,3are244vl_lc_obk,rcv017mp,ety104mp,3rcp005rs_c_c5,lhb001mu,3rcp007mn,3are242vl_p_pack,3rcp004rs_p_pack,3rcp029mt,3rra025vp_p_pack,3rcv046vp_lc_obk,are057mn,3are244vl_lc_spnt,rri013ks,are043md,krt008ma,3gct133vv_c_c8,are056mn,3are032vl_lc_opnt,vvp001md,3ric103km,3ric203km,sap001mp,3rcp001vp_lc_spnt,3asg016vd_p_pack,3rcp006rs_p_pack,3rcp003rs_c_c2,3rcp039mp,3are242vl_lc_opnt,3rcv046vp_lc_spnt,sar003sp,3are242vl_lc_sbk,3rcp001rs_c_c2,rpa309ks,3rcp002vp_lc_opnt,are047md,3asg015vd_lc_obk,3ric200km,vvp009mp,3asg014vd_p_pack,3rcv046vp_lc_opnt,3rcp002rs_c_c2,3gct131vv_p_pack,3gct133vv_lc_opnt,asg401ks,3are032vl_lc_sbk,sar003sp.1,3gct132vv_lc_spnt,3rcv013vp_p_pack,8ety501mp,vvp013mp,rcv502ks,are049md,rcv520ks,3are033vl_lc_opnt,3asg016vd_lc_opnt,rcp006mp,3are243vl_lc_spnt,3rcp003rs_p_pack,rpa236ks,ety013ks,3rcp002vp_c_c7,rcp007mn,are010mn,3gct133vv_lc_spnt,are055mn,3asg012vd_lc_opnt,are045md,asg003km,3are031vl_lc_spnt,3asg013vd_lc_obk,3gct132vv_lc_opnt,3gct132vv_c_c7,rcp011mn,3rcp003rs_c_c1,are044md,sap007sp,3gct131vv_lc_obk,3rcp028mt,3are242vl_lc_spnt,asg012km,3asg012vd_lc_obk,3are244vl_lc_opnt,are054mn,are060mn,krt032ma,sec003mp,3gct131vv_lc_opnt,3gct132vv_p_pack,are059mn,asg011km,rcv018md,rpn403km,vvp014mp,3gct131vv_c_c8,asg001km,3rcp024mp_a_pnt,3rra025vp_control,3rcp001vp_lc_opnt,3asg017vd_p_pack,are030mn,are046md,3rcv013vp_lc_obk,3rcp006rs_c_c1,3rcp006rs_c_c5,3rcp001vp_c_c7,3are033vl_p_pack,3gct132vv_c_c8,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcv046vp_p_pack,3are243vl_lc_sbk,rcp039mp,3rcp001rs_c_c1,vvp010mp,vvp007mp,are050md,3rcp006rs_c_c2,3rcp001vp_lc_obk,3gct131vv_c_c7,are401km,3are032vl_p_pack,3rcv013vp_lc_sbk,3rcp004rs_c_c1,rri014ks,3ety502mp,lgb001mu,ety102mp,ety101mp,are048md,3are244vl_lc_sbk,3rcp002rs_p_pack,krt002ma,krt009ma,3rcp037mp,krt004ma,3are032vl_lc_spnt,3rcv013vp_lc_spnt,vvp008mp,3are244vl_p_pack,3rra025vp,3rcp001rs_p_pack,lgc001mu,rcv005md,rpn409km,3asg015vd_lc_opnt
0,0,0.1,0,262400,100,0,100,100,0,6.87e-06,0,100.0,6607.18,100.0,333.416,1910.7,48.7648,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1863.1,48.9297,0,100.0,34.2739,0.0820837,0.00144043,50,15.3582,-2.98e-08,100,1.0,37000.0,0.1,0,1885.76,0.00106443,100,-2134629628,1086586884,1888.16,0,0,47.3169,0,12854020,-2134638332,0.0120312,6.87e-06,2.49842,1086595844,6.66954,1074012928,1.0,48.9331,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,17.7467,100.982,0,6615.56,0.0846119,-2134629628,-2134638592,292.655,262400,27.5619,-4.25e-06,0,0,1911.0,10,0,-6.95e-07,48.7649,1889.3,11.0181,10.9757,0.815906,0,-2134638332,1086586884,0,15.3582,100.0,0,0,-2.98e-08,0,0,0,1910.7,100,333.459,6.66932,-2134638332,27.5531,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.66967,0,15.0,0,47.317,100,15.3517,0,-2134638592,0,0,0,0.0846119,0.00106443,7.75029,0.00144043,100,1885.75,0.0,0,100,0,0,0.0820837,0,1910.7,0,0,326.958,0,0.0,100,100.0,3.38e-06,-4.25e-06,0.1,189.731,0,1074012928,-6.95e-07,0,10.5051,0.001,6.66954,0,0.0,0.0157521,30,0,-2134638332,3.38e-06,1910.93,34.2685,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.3582,0,6.66967,6.66966,15.0,0,0,0,1911.06,12854020,2.5,0,0,100.982,6604.43,100.976,100.976,1885.75,-2.98e-08,1086588932,3700,82794.1,15.3582,87415.3,0,2.5,6.66954,-2134629628,30,1086588932,6599.51,13.5681,0.001,100
5,0,0.1,0,262400,100,0,100,100,0,-0.00116281,0,100.0,6607.44,100.0,333.35,1912.2,48.584,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1852.86,48.5996,0,100.0,34.2054,-0.0167327,0.0260848,50,15.2731,-2.98e-08,100,1.0,77500000.0,0.1,0,1887.02,0.0255492,100,-2134629628,1086586884,1878.3,0,0,47.1385,0,12854020,-2134638332,0.0120312,-0.00116281,2.49655,1086595844,6.67106,1074012928,1.0,48.604,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,17.6714,100.982,0,6617.53,-0.0146365,-2134629628,-2134638592,292.701,262400,30.2364,-0.00124558,0,0,1893.42,10,0,-0.00120893,48.5887,1913.94,10.5611,10.5187,0.815967,0,-2134638332,1086586884,0,15.2731,100.0,0,0,-2.98e-08,0,0,0,1912.26,100,333.393,6.67083,-2134638332,30.0726,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.67149,0,15.0,0,47.1431,100,15.241,0,-2134638592,0,0,0,-0.0146365,0.0255492,7.75029,0.0260848,100,1887.15,0.0,0,100,0,0,-0.0167327,0,1912.32,0,0,327.073,0,0.0,100,100.0,-0.00119835,-0.00124558,0.1,189.731,0,1074012928,-0.00120893,0,12.4855,0.001,6.67106,0,0.0,0.0157522,30,0,-2134638332,-0.00119835,1893.11,34.2034,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.2731,0,6.67149,6.67146,15.0,0,0,0,1904.41,12854020,2.5,0,0,100.982,6613.03,100.976,100.976,1887.09,-2.98e-08,1086588932,3700,82794.1,15.2731,252000000.0,0,2.5,6.67104,-2134629628,30,1086588932,6593.01,13.5192,0.001,100
10,0,0.1,0,262400,100,0,100,100,0,-0.00313301,0,100.0,6608.33,100.0,333.337,1905.97,48.5241,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1848.59,48.5167,0,100.0,34.1572,-0.128132,0.0518047,50,15.2078,-2.98e-08,100,1.0,261000000.0,0.1,0,1880.83,0.0513311,100,-2134629628,-2134638588,1873.52,0,0,47.0854,0,12854020,-2134638332,0.0120312,-0.00313301,2.49701,1086595844,6.67365,1074012928,1.0,48.5182,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,17.4888,100.982,0,6596.24,-0.128132,-2134629628,-2134638592,292.798,262400,35.4291,-0.00322086,0,0,1886.77,10,0,-0.00315047,48.5226,1925.66,10.2293,10.187,0.816028,0,-2134638332,-2134638588,0,15.2066,100.0,0,0,-2.98e-08,0,0,0,1906.08,100,333.38,6.67341,-2134638332,35.2041,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.67422,0,15.0,0,47.0838,100,15.1771,0,-2134638592,0,0,0,-0.125871,0.0513311,7.75029,0.0518047,100,1881.05,0.0,0,100,0,0,-0.128132,0,1906.2,0,0,327.055,0,0.0,100,100.0,-0.00320332,-0.00322086,0.1,189.731,0,1074012928,-0.00315047,0,16.4198,0.001,6.67365,0,0.0,0.0157518,30,0,-2134638332,-0.00320332,1886.76,34.1554,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.2078,0,6.67422,6.67419,15.0,0,0,0,1894.12,12854020,2.5,0,0,100.982,6607.6,100.976,100.976,1880.94,-2.98e-08,1086591012,3700,82794.1,15.2066,370000000.0,0,2.5,6.67362,-2134629628,30,1086591012,6617.82,13.4862,0.001,100
15,0,0.1,0,262400,100,0,100,100,0,-0.00289558,0,100.0,6614.34,100.0,333.312,1903.7,48.5636,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1850.34,48.196,0,100.0,34.1151,-0.241764,0.0732228,50,15.1521,-2.98e-08,100,1.0,534000000.0,0.1,0,1878.7,0.0728326,100,-2134629628,-2134638588,1875.08,0,0,47.1254,0,12854020,-2134638332,0.0120312,-0.00289558,2.49736,1086595844,6.67636,1074012928,1.0,48.2083,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,17.2297,100.982,0,6593.4,-0.241764,-2134629628,-2134638592,292.79,262400,41.2891,-0.00292362,0,0,1884.83,10,0,-0.00287547,48.5647,1923.93,9.95871,9.91632,0.816089,0,-2134638332,-2134638588,0,15.151,100.0,0,0,-2.98e-08,0,0,0,1903.7,100,333.355,6.67612,-2134638332,41.0764,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.67691,0,15.0,0,47.1264,100,15.1217,0,-2134638592,0,0,0,-0.239482,0.0728326,7.75029,0.0732228,100,1878.7,0.0,0,100,0,0,-0.241764,0,1903.7,0,0,327.036,0,0.0,100,100.0,-0.00294424,-0.00292362,0.1,189.731,0,1074012928,-0.00287547,0,21.0533,0.001,6.67636,0,0.0,0.0157511,30,0,-2134638332,-0.00294424,1884.71,34.1134,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.1521,0,6.67691,6.67688,15.0,0,0,0,1888.99,12854020,2.5,0,0,100.982,6611.58,100.976,100.976,1878.7,-2.98e-08,-2134634492,3700,82794.1,15.151,370000000.0,0,2.5,6.67633,-2134629628,30,-2134634492,6596.86,13.4578,0.001,100
20,0,0.1,0,262400,100,0,100,100,0,-0.00174026,0,100.0,6617.79,100.0,333.282,1903.77,48.4211,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1851.39,47.3247,0,100.0,34.0726,-0.356726,0.0914898,50,15.0953,-2.98e-08,100,1.0,888000000.0,0.1,0,1878.76,0.091143,100,-2134629628,-2134638588,1876.2,0,0,46.9895,0,12854020,-2134638332,0.0120312,-0.00174026,2.49731,1086595844,6.67897,1074012928,1.0,47.3452,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,17.0227,100.982,0,6616.34,-0.356726,-2134629628,-2134638592,292.795,262400,44.6969,-0.00176631,0,0,1872.48,10,0,-0.00171783,48.4248,1922.09,9.6846,9.64221,0.816151,0,-2134638332,-2134638588,0,15.0941,100.0,0,0,-2.98e-08,0,0,0,1903.79,100,333.324,6.67873,-2134638332,44.6118,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.67948,0,15.0,0,46.993,100,15.0651,0,-2134638592,0,0,0,-0.354405,0.091143,7.75029,0.0914898,100,1878.79,0.0,0,100,0,0,-0.356726,0,1903.81,0,0,327.003,0,0.0,100,100.0,-0.00178834,-0.00176631,0.1,189.731,0,1074012928,-0.00171783,0,23.7829,0.001,6.67897,0,0.0,0.0157501,30,0,-2134638332,-0.00178834,1872.12,34.0708,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.0953,0,6.67948,6.67946,15.0,0,0,0,1882.05,12854020,2.5,0,0,100.982,6616.98,100.976,100.976,1878.78,-2.98e-08,-2134634492,3700,82794.1,15.0941,370000000.0,0,2.5,6.67894,-2134629628,30,-2134634492,6597.32,13.4288,0.001,100
25,0,0.1,0,262400,100,0,100,100,0,-0.000842071,0,100.0,6606.06,100.0,333.248,1902.06,48.2603,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1851.12,46.3536,0,100.0,34.0266,-0.473413,0.10801,50,15.0343,-2.98e-08,100,1.0,1310000000.0,0.1,0,1877.08,0.107696,100,-2134629628,-2134638588,1875.99,0,0,46.8401,0,12854020,-2134638332,0.0120312,-0.000842071,2.4971,1086595844,6.68121,1074012928,1.0,46.3703,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,16.9178,100.982,0,6602.29,-0.473413,-2134629628,-2134638592,292.804,262400,46.0266,-0.000904969,0,0,1852.32,10,0,-0.00082931,48.2626,1921.85,9.39059,9.34818,0.816212,0,-2134638332,-2134638588,0,15.0331,100.0,0,0,-2.98e-08,0,0,0,1902.11,100,333.29,6.68098,-2134638332,45.9963,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.68172,0,15.0,0,46.8422,100,15.0043,0,-2134638592,0,0,0,-0.471072,0.107696,7.75029,0.10801,100,1877.17,0.0,0,100,0,0,-0.473413,0,1902.15,0,0,326.968,0,0.0,100,100.0,-0.000917166,-0.000904969,0.1,189.731,0,1074012928,-0.00082931,0,24.9497,0.001,6.68121,0,0.0,0.0157491,30,0,-2134638332,-0.000917166,1851.92,34.0246,0,0,0,12854020,0,0,0,271104,-2.98e-08,15.0343,0,6.68172,6.6817,15.0,0,0,0,1868.09,12854020,2.5,0,0,100.982,6613.13,100.976,100.976,1877.12,-2.98e-08,-2134634492,3700,82794.1,15.0331,370000000.0,0,2.5,6.68119,-2134629628,30,-2134634492,6617.34,13.3976,0.001,100
30,0,0.1,0,262400,100,0,100,100,0,-0.000415266,0,98.2555,6605.06,100.0,333.209,1900.23,48.1838,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1850.17,45.7301,0,100.0,33.9773,-0.590637,0.122847,50,14.9705,-2.98e-08,100,1.0,1790000000.0,0.1,0,1875.33,0.122568,100,-2134629628,-2134638588,1875.01,0,0,46.7711,0,12854020,-2134638332,0.0120312,-0.000415266,2.49693,1086595844,6.68312,1074012928,1.0,45.7386,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,16.863,100.982,0,6594.04,-0.590637,12854020,-2134638592,292.809,262400,46.4082,-0.000502516,0,0,1834.95,10,0,-0.000409964,48.185,1922.22,9.08527,9.04285,0.816273,0,-2134638332,-2134638588,0,14.9692,98.3107,0,0,-2.98e-08,0,0,0,1900.26,100,333.252,6.68289,-2134638332,46.4038,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.68364,0,15.0,0,46.7722,100,14.9406,0,-2134638592,0,0,0,-0.588294,0.122568,7.75029,0.122847,100,1875.38,0.0,0,100,0,0,-0.590637,0,1900.28,0,0,326.928,0,0.0,100,100.0,-0.00050763,-0.000502516,0.1,189.731,0,1074012928,-0.000409964,0,25.503,0.001,6.68312,0,0.0,0.0157483,30,0,-2134638332,-0.00050763,1834.67,33.9754,0,0,0,12854020,0,0,0,271104,-2.98e-08,14.9705,0,6.68364,6.68362,15.0,0,0,0,1851.0,12854020,2.5,0,0,100.982,6609.62,100.976,100.976,1875.36,-2.98e-08,-2134634492,3700,82794.1,14.9692,370000000.0,0,2.5,6.6831,-2134629628,30,-2134634492,6593.9,13.3648,0.001,100
35,0,0.1,0,262400,100,0,100,100,0,-0.000230145,0,95.6217,6601.56,100.0,333.171,1899.03,48.1365,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1849.0,45.4472,0,100.0,33.9272,-0.707628,0.135883,50,14.9062,-2.98e-08,100,1.0,2320000000.0,0.1,0,1874.19,0.13564,100,-2134629628,-2134638588,1873.83,0,0,46.7282,0,12854020,-2134638332,0.0120312,-0.000230145,2.49687,1086595844,6.68476,1074012928,1.0,45.4513,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,16.833,100.982,0,6601.8,-0.707628,12854020,-2134638592,292.812,262400,46.3392,-0.000331214,0,0,1824.13,10,0,-0.000228212,48.1375,1922.91,8.77716,8.73471,0.816334,0,-2134638332,-2134638588,0,14.9049,95.6721,0,0,-2.98e-08,0,0,0,1899.05,100,333.213,6.68454,-2134638332,46.3471,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.68531,0,15.0,0,46.7291,100,14.8765,0,-2134638592,0,0,0,-0.705294,0.13564,7.75029,0.135883,100,1874.22,0.0,0,100,0,0,-0.707628,0,1899.07,0,0,326.888,0,0.0,100,100.0,-0.000332923,-0.000331214,0.1,189.731,0,1074012928,-0.000228212,0,25.7649,0.001,6.68476,0,0.0,0.015748,30,0,-2134638332,-0.000332923,1823.97,33.9251,0,0,0,12854020,0,0,0,271104,-2.98e-08,14.9062,0,6.68531,6.68529,15.0,0,0,0,1836.28,12854020,2.5,0,0,100.982,6595.45,100.976,100.976,1874.2,-2.98e-08,-2134634492,3700,82794.1,14.9049,370000000.0,0,2.5,6.68475,-2134629628,30,-2134634492,6610.58,13.3318,0.001,100
40,0,0.1,0,262400,100,0,100,100,0,-0.000172945,0,93.2308,6591.92,100.0,333.133,1898.31,48.0683,-2134638332,0,0,7.75029,-2134638332,3700,100,1086595844,1847.59,45.2273,0,100.0,33.8768,-0.823999,0.147126,50,14.8425,-2.98e-08,100,1.0,2900000000.0,0.1,0,1873.47,0.146918,100,-2134629628,-2134638588,1872.41,0,0,46.6643,0,12854020,-2134638332,0.0120312,-0.000172945,2.49686,1086595844,6.6863,1074012928,1.0,45.2326,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,16.8157,100.982,0,6617.51,-0.823999,12854020,-2134638592,292.814,262400,46.0618,-0.000286051,0,0,1817.02,10,0,-0.000172365,48.0701,1923.22,8.47009,8.42764,0.816396,0,-2134638332,-2134638588,0,14.8412,93.2762,0,0,-2.98e-08,0,0,0,1898.32,100,333.175,6.68607,-2134638332,46.0751,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.68685,0,15.0,0,46.666,100,14.8129,0,-2134638592,0,0,0,-0.821681,0.146918,7.75029,0.147126,100,1873.5,0.0,0,100,0,0,-0.823999,0,1898.33,0,0,326.848,0,0.0,100,100.0,-0.000286384,-0.000286051,0.1,189.731,0,1074012928,-0.000172365,0,25.8813,0.001,6.6863,0,0.0,0.0157482,30,0,-2134638332,-0.000286384,1816.87,33.8748,0,0,0,12854020,0,0,0,271104,-2.98e-08,14.8425,0,6.68685,6.68684,15.0,0,0,0,1825.77,12854020,2.5,0,0,100.982,6616.46,100.976,100.976,1873.48,-2.98e-08,-2134634492,3700,82794.1,14.8412,370000000.0,0,2.5,6.68628,-2134629628,30,-2134634492,6607.92,13.2989,0.001,100
45,0,0.1,0,262400,100,0,100,100,0,-0.000111279,0,91.0849,6595.08,100.0,333.096,1897.36,47.9684,-2134638332,0,0,7.75029,-2134638332,3700,100,1087644164,1846.36,44.9063,0,100.0,33.827,-0.93951,0.156612,50,14.7797,-2.98e-08,100,1.0,3510000000.0,0.1,0,1872.53,0.156438,100,-2134629628,-2134638588,1871.17,0,0,46.5706,0,12854020,-2134638332,0.0120312,-0.000111279,2.49689,1087644164,6.68774,1074012928,1.0,44.9135,0,0.0,-2.98e-08,0,0,100.982,30,0,0.0,100.0,16.805,100.982,0,6611.99,-0.93951,12854020,-2134638592,292.815,262400,45.6971,-0.000230964,0,0,1808.62,10,0,-0.000109558,47.9704,1923.07,8.16653,8.12408,0.816457,0,-2134638332,-2134638588,0,14.7785,91.1255,0,0,-2.98e-08,0,0,0,1897.39,100,333.138,6.68752,-2134638332,45.7124,0,1074012928,0,0,-2.98e-08,0,7.75029,262912,100,6.68831,0,15.0,0,46.5725,100,14.7503,0,-2134638592,0,0,0,-0.937208,0.156438,7.75029,0.156612,100,1872.57,0.0,0,100,0,0,-0.93951,0,1897.41,0,0,326.81,0,0.0,100,100.0,-0.000232764,-0.000230964,0.1,189.731,0,1074012928,-0.000109558,0,25.9251,0.001,6.68774,0,0.0,0.015749,30,0,-2134638332,-0.000232764,1808.43,33.825,0,0,0,12854020,0,0,0,271104,-2.98e-08,14.7797,0,6.68831,6.6883,15.0,0,0,0,1817.04,12854020,2.5,0,0,100.982,6606.47,100.976,100.976,1872.55,-2.98e-08,-2134634492,3700,82794.1,14.7785,370000000.0,0,2.5,6.68773,-2134629628,30,-2134634492,6607.8,13.2665,0.001,100
