汽机旁路系统蒸汽阀平均开度,稳压器喷淋阀平均开度,上充流量调节阀开度,电加热开启数量,一环路冷热段平均值,堆芯出口温度平均值,一回路压力平均值,ΔTsat平均值
0.0,0.0,100.0,0,262.2475,262.16700000000003,6.34938,17.9482
0.0,0.0,100.0,0,262.2475,262.16700000000003,6.34938,17.9482
0.0,0.0,100.0,0,262.2475,262.16700000000003,6.34938,17.9482
0.0,0.0,100.0,0,262.2475,262.16700000000003,6.34938,17.9482
0.0,0.0,100.0,0,262.22950000000003,262.148,6.34925,17.9654
0.0,0.0,100.0,0,262.1925,262.111,6.34898,17.9998
0.0,0.0,100.0,0,262.15549999999996,262.07399999999996,6.34872,18.0341
0.0,0.0,100.0,0,262.119,262.03700000000003,6.34845,18.0683
0.0,0.0,100.0,0,262.082,262.0,6.34815,18.1021
0.0,0.0,100.0,0,262.0455,261.96299999999997,6.34787,18.1361
0.0,0.0,100.0,0,262.009,261.92650000000003,6.34757,18.17
0.0,0.0,100.0,0,261.972,261.8895,6.3473,18.2041
0.0,0.0,100.0,0,261.9355,261.853,6.34702,18.2381
0.0,0.0,100.0,0,261.8985,261.81600000000003,6.34674,18.2721
0.0,0.0,100.0,0,261.86199999999997,261.779,6.34646,18.3059
0.0,0.0,100.0,0,261.825,261.74249999999995,6.34615,18.3394
0.0,0.0,100.0,0,261.789,261.706,6.34586,18.3731
0.0,0.0,100.0,0,261.752,261.669,6.34557,18.4066
0.0,0.0,100.0,0,261.7155,261.63300000000004,6.34528,18.4401
0.0,0.0,100.0,0,261.679,261.5965,6.345,18.4735
0.0,0.0,100.0,0,261.64300000000003,261.56,6.34472,18.5068
0.0,0.0,100.0,0,261.606,261.524,6.3444,18.5398
0.0,0.0,100.0,0,261.5695,261.488,6.34409,18.5729
0.0,0.0,100.0,0,261.5335,261.452,6.34379,18.6058
0.0,0.0,100.0,0,261.49699999999996,261.41549999999995,6.34347,18.6388
0.0,0.0,100.0,0,261.461,261.379,6.34316,18.6717
0.0,0.0,100.0,0,261.42449999999997,261.34299999999996,6.34285,18.7046
0.0,0.0,100.0,0,261.38800000000003,261.307,6.34252,18.7375
0.0,0.0,100.0,0,261.352,261.27099999999996,6.34215,18.7698
0.0,0.0,100.0,0,261.31550000000004,261.235,6.34182,18.8026
