一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15965,100.981,6.625000000000001e-05,0.0157484,0.814868,0.0
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15965,100.981,6.625000000000001e-05,0.0157484,0.814868,0.0
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15965,100.981,6.625000000000001e-05,0.0157484,0.814868,0.0
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15965,100.981,6.625000000000001e-05,0.0157484,0.814868,0.0
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15965,100.981,6.625000000000001e-05,0.0157484,0.814868,0.0
15.3978,309.8115,333.437,6.669545,0.0,0.0120312,11.15955,100.981,6.500000000000001e-05,0.0157489,0.81487,0.0
15.3977,309.8115,333.437,6.6695275,0.0,0.0120312,11.15925,100.981,5.81e-05,0.0157494,0.814882,0.0
15.3977,309.8115,333.437,6.6695075,0.0,0.0120312,11.15895,100.981,5.015e-05,0.0157465,0.814895,0.0
15.3976,309.8115,333.437,6.6694949999999995,0.0,0.0120312,11.1587,100.981,4.255e-05,0.0157446,0.814907,0.0
15.3975,309.8115,333.437,6.669477499999999,0.0,0.0120312,11.158449999999998,100.981,3.445e-05,0.0157471,0.814919,0.0
15.3975,309.8115,333.437,6.669465000000001,0.0,0.0120312,11.158249999999999,100.981,2.5849999999999998e-05,0.0157496,0.814931,0.0
15.3974,309.8115,333.437,6.6694475,0.0,0.0120312,11.15805,100.981,1.715e-05,0.0157488,0.814944,0.0
15.3974,309.81100000000004,333.437,6.6694375,0.0,0.0120312,11.15785,100.981,8.01e-06,0.0157456,0.814956,0.0
15.3974,309.81100000000004,333.4365,6.6694375,0.0,0.0120312,11.15775,100.981,-1.045e-06,0.0157451,0.814968,0.0
15.3973,309.81100000000004,333.437,6.6694450000000005,0.0,0.0120312,11.15755,100.981,-8.795000000000001e-06,0.0157483,0.81498,0.0
15.3973,309.81100000000004,333.437,6.6694475,0.0,0.0120312,11.15745,100.981,-1.645e-05,0.01575,0.814992,0.0
15.3973,309.81100000000004,333.437,6.669455,0.0,0.0120312,11.157350000000001,100.981,-2.4750000000000002e-05,0.0157479,0.815005,0.0
15.3973,309.81100000000004,333.437,6.669465000000001,0.0,0.0120312,11.1573,100.981,-3.4250000000000006e-05,0.015745,0.815017,0.0
15.3973,309.81100000000004,333.437,6.669465000000001,0.0,0.0120312,11.157250000000001,100.981,-4.44e-05,0.0157462,0.815029,0.0
15.3973,309.81100000000004,333.437,6.6694675000000005,0.0,0.0120312,11.1572,100.981,-5.405e-05,0.0157493,0.815042,0.0
15.3973,309.81100000000004,333.437,6.669474999999999,0.0,0.0120312,11.1572,100.981,-6.305e-05,0.0157499,0.815054,0.0
15.3973,309.812,333.437,6.669487500000001,0.0,0.0120312,11.1572,100.981,-7.13e-05,0.0157469,0.815066,0.0
15.3973,309.812,333.437,6.6695150000000005,0.0,0.0120312,11.1572,100.981,-7.615000000000001e-05,0.015745,0.815078,0.0
15.3974,309.812,333.437,6.669535000000001,0.0,0.0120312,11.1572,100.981,-7.95e-05,0.0157475,0.815091,0.0
15.3974,309.812,333.437,6.6695575,0.0,0.0120312,11.1572,100.981,-8.24e-05,0.01575,0.815103,0.0
15.3974,309.8125,333.437,6.6695825,0.0,0.0120312,11.1573,100.981,-8.435e-05,0.0157493,0.815115,0.0
