,rewards,rewards
0,0,30.05693338
1,0,26.5691905
2,0,24.48541398
3,0,23.95788251
4,0,23.55660117
5,0,23.5418207
6,2.610896114,21.11309897
7,0,20.04111762
8,10.87118079,19.61567341
9,0,19.39231713
10,0,19.18526187
11,8.93576651,19.073489
12,0,19.06311446
13,0,18.81268629
14,0,18.10770873
15,0,17.95814186
16,0,16.98341655
17,0,16.64020564
18,12.52861527,16.27360248
19,0,16.23887245
20,7.174557813,16.22763829
21,0,16.11702083
22,8.872777013,15.91728993
23,7.262828737,15.83967631
24,0,15.35461563
25,0,15.04763249
26,0,14.46255846
27,0,14.37967602
28,0,14.23101202
29,7.113275938,13.73125177
30,0,13.64082033
31,0,13.521753
32,0,13.29848101
33,0,13.06295966
34,0,12.89211909
35,0,12.69336386
36,0,12.62453357
37,0,12.52861527
38,0,12.42468415
39,0,12.18106052
40,0,12.15774275
41,0,11.54290708
42,0,11.51209021
43,0,11.49321662
44,0,11.49288253
45,7.224574407,11.30939883
46,0,11.18418184
47,0,11.05842866
48,0,11.03045363
49,0,10.87118079
50,0,10.82719442
51,0,10.76910287
52,0,10.62833923
53,0,10.59287775
54,8.700261612,10.44823865
55,0,10.44382736
56,0,10.41751478
57,0,10.34868577
58,0,9.942412914
59,0,9.620921011
60,0,9.377578291
61,0,8.93576651
62,0,8.872777013
63,10.76910287,8.87096429
64,26.5691905,8.769527242
65,0,8.700261612
66,6.611410031,8.686309863
67,0,8.115734489
68,0,8.084571361
69,0,7.485939603
70,6.866173137,7.480250064
71,0,7.410977609
72,0,7.389143343
73,0,7.347036689
74,0,7.269758671
75,0,7.267913978
76,0,7.262828737
77,0,7.260326452
78,15.04763249,7.254519066
79,0,7.247927144
80,0,7.224574407
81,0,7.224490817
82,0,7.217833322
83,0,7.205249144
84,0,7.197248879
85,0,7.190868915
86,0,7.174557813
87,0,7.113275938
88,6.282721564,7.038816255
89,13.521753,6.998286338
90,0,6.993533655
91,5.620395496,6.98446668
92,13.64082033,6.978141926
93,0,6.973089496
94,0,6.968046605
95,5.846955127,6.966077215
96,0,6.948864914
97,0,6.903307529
98,5.395490299,6.866173137
99,0,6.752494619
100,0,6.747437067
101,0,6.731949046
102,0,6.675739334
103,1.891801875,6.644118329
104,0,6.611410031
105,0,6.607037124
106,7.190868915,6.596357148
107,0,6.542991944
108,0,6.333034097
109,0,6.282721564
110,0,6.251788178
111,0,6.228439371
112,0,6.137300903
113,0,6.030936555
114,0,5.889682755
115,0,5.846955127
116,0,5.754826698
117,0,5.742313198
118,0,5.651032073
119,0,5.620395496
120,0,5.576932102
121,0,5.406812635
122,0,5.395490299
123,0,5.203574854
124,6.968046605,5.147938428
125,0,5.122138798
126,0,5.001740174
127,0,4.789526198
128,0,4.777107464
129,0,4.759208826
130,0,4.6351179
131,0,4.55350287
132,0,4.302236242
133,5.406812635,4.241379652
134,11.03045363,4.168815057
135,0,4.023777634
136,0,4.004486546
137,0,3.635361186
138,0,3.603096895
139,5.203574854,3.591329097
140,0,3.547032042
141,0,3.517781195
142,3.603096895,3.219171118
143,0,3.052981756
144,0,2.631932336
145,0,2.610896114
146,0,2.436167531
147,0,2.412873853
148,0,2.240166699
149,0,2.131141588
150,0,1.934433978
151,0,1.891801875
152,0,1.78987099
153,0,1.71091754
154,0,1.271908065
155,0,0.411934507
156,16.22763829,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,18.81268629,0
165,0,0
166,10.59287775,0
167,0,0
168,16.23887245,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,6.675739334,0
178,0,0
179,0,0
180,7.347036689,0
181,0,0
182,0,0
183,0,0
184,0,0
185,2.631932336,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,12.62453357,0
192,0,0
193,0,0
194,0,0
195,19.39231713,0
196,0,0
197,4.241379652,0
198,0,0
199,0,0
200,5.742313198,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,3.591329097,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,11.49288253,0
223,7.260326452,0
224,0,0
225,6.644118329,0
226,0,0
227,0,0
228,0,0
229,0,0
230,19.18526187,0
231,16.27360248,0
232,0,0
233,0,0
234,0,0
235,3.052981756,0
236,0,0
237,6.966077215,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,18.10770873,0
245,30.05693338,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,11.51209021,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,8.87096429,0
265,0,0
266,0,0
267,0,0
268,0,0
269,9.620921011,0
270,4.777107464,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,7.205249144,0
288,0,0
289,0,0
290,0,0
291,0,0
292,7.485939603,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,5.889682755,0
302,0,0
303,11.05842866,0
304,0,0
305,0,0
306,0,0
307,0,0
308,6.948864914,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,10.44382736,0
330,0,0
331,4.759208826,0
332,8.769527242,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,15.35461563,0
339,14.23101202,0
340,6.993533655,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
