,rewards
0,-185.26087168923368
1,-465.6415596352849
2,-594.4892080971957
3,-210.78227428048805
4,-205.55828354647207
5,-466.28210665219024
6,-227.31763788150607
7,-233.9915561948805
8,-500.20273495025174
9,-193.58634448758664
10,-707.1041017066586
11,-395.35325182957456
12,-218.21531457583058
13,-229.80215766388733
14,-225.24768892368684
15,-518.1792737387987
16,-663.2959019055988
17,-188.33432259715664
18,-236.06260439864855
19,-214.88314177261157
20,-208.27761018171032
21,-575.3651753892491
22,-478.5630170160573
23,-231.9177797337753
24,-223.535956151952
25,-399.15264679848195
26,-208.48950745946772
27,-189.67719303196418
28,-182.49821021430884
29,-231.33711525480663
30,-272.2670415469455
31,-222.45867280099105
32,-529.5743534231287
33,-516.6432673994536
34,-255.22607083488296
35,-248.19002362502712
36,-734.530922508826
37,-216.1433825913504
38,-1135.1815732456607
39,-198.55525916827438
40,-213.92211427960535
41,-400.2031334519627
42,-226.34395438790645
43,-227.80277647437026
44,-212.091394812271
45,-275.0639583177875
46,-223.4075610495915
47,-527.363462882799
48,-229.2229847696933
49,-222.8132276945076
50,-189.23374098505633
51,-907.5128354124129
52,-428.9674593842353
53,-208.85838955114977
54,-488.48868138498096
55,-198.4557730939926
56,-219.52879127558143
57,-401.523610734381
58,-907.6942862171345
59,-237.43478406272314
60,-262.1603133866292
61,-205.43641937498018
62,-207.8312184689896
63,-263.9268114090254
64,-296.8639231288115
65,-184.42123805078083
66,-892.3290225702117
67,-971.8321503332938
68,-214.3510636314765
69,-197.18598605393905
70,-203.78816380300313
71,-240.22260063018757
72,-554.3089167913672
73,-190.752546543581
74,-1132.7732222344157
75,-207.74581286385356
76,-213.2411674880042
77,-592.7268067202567
78,-457.20128078158905
79,-488.62692563288033
80,-230.46224525397082
81,-210.88609117307504
82,-205.26787192908893
83,-195.710244623778
84,-495.5465367346992
85,-772.8620962750119
86,-215.83949255185746
87,-226.78975000337996
88,-214.80108704422264
89,-217.2931540876175
90,-1260.3613617971553
91,-634.9530584073484
92,-211.63614960393997
93,-235.15870126572625
94,-769.3158227770766
95,-245.50936356944717
96,-770.5281553878558
97,-249.67500509241734
98,-254.3900170421186
99,-191.0700383178485
100,-518.2010853464351
