,rewards
0,-9045.126067578949
1,-9408.696120952622
2,-12506.794371120319
3,-7594.389797454465
4,-18759.147239568974
5,-9123.413576020097
6,-19278.984012281697
7,-18559.432626208098
8,-20284.467054553246
9,-15497.513135759846
10,-18512.5419187836
11,-19201.160541107063
12,-8383.826664216669
13,-17355.5349099146
14,-8385.641860783728
15,-8161.446202206466
16,-12864.077889834414
17,-18472.952536135843
18,-18598.768332116422
19,-11538.584294385257
20,-9868.68081227001
21,-9253.046496281599
22,-8228.339022562619
23,-12344.446813840914
24,-11277.090281803012
25,-19619.528079073294
26,-18062.223254237877
27,-17533.03254824832
28,-10102.87352679991
29,-11816.43307637821
30,-6168.09506618888
31,-19812.568256322866
32,-16423.092185426365
33,-19709.47124476399
34,-11136.521338834977
35,-14854.08808103346
36,-14959.78841262079
37,-13039.251362348004
38,-8915.288201867796
39,-18953.6014201439
40,-9212.916020111139
41,-12953.26753092584
42,-19646.229206701537
43,-9496.97656200435
44,-17596.90677641201
45,-19858.812021950926
46,-8123.7536340895895
47,-17241.23684840164
48,-19687.152847530175
49,-19899.90668558184
50,-7985.032542925198
51,-266.3837980553629
52,-266.5730018577001
53,-266.3875553606116
54,-266.4700516939448
55,-266.46415742133166
56,-266.24440203071225
57,-266.3287535334993
58,-266.418952342582
59,-266.3075482420132
60,-266.34620151974286
61,-266.5308965557755
62,-266.3335675808497
63,-266.40758649420945
64,-266.23688742022546
65,-266.2317915749782
66,-266.48454080229897
67,-266.4462632550925
68,-266.4734097855088
69,-266.3723147912126
70,-266.5363916146928
71,-266.4953430548792
72,-266.49574226856794
73,-266.47888136126113
74,-266.5279141947384
75,-266.5326812757643
76,-266.5239925073821
77,-266.5670136524644
78,-266.338592976623
79,-266.46798517604407
80,-266.49106912016634
81,-266.39875682688285
82,-266.4592729245072
83,-266.50121384433453
84,-266.4595547223951
85,-266.4953900211967
86,-266.5861289428983
87,-266.41488975628397
88,-266.2507659664814
89,-266.4840946223047
90,-266.1373892806575
91,-266.5001571022292
92,-266.37496838802656
93,-266.3399080334517
94,-266.06644666097134
95,-266.44229460142543
96,-266.38112097538266
97,-266.5498709472782
98,-266.517229357937
99,-266.2401280959962
100,-266.657165495232
101,-266.3434305071153
102,-266.3693559133205
103,-266.44356269195225
104,-266.3905377216528
105,-266.2019444814248
106,-266.60198007441903
107,-266.44328089405894
108,-266.328119488237
109,-266.56616825877626
110,-266.7056816992264
111,-266.529957229463
112,-266.3709292848939
113,-266.54324869678163
114,-266.2044336961547
115,-266.3776924343398
116,-266.4880163096517
117,-266.4332770688379
118,-266.2429225917657
119,-266.4030307615979
120,-266.3429608439641
121,-266.54369487676956
122,-266.5002980011754
123,-266.46789124342206
124,-266.6357723384746
125,-266.6535256057533
126,-266.4415901066932
127,-266.3495361281548
128,-266.38105052590424
129,-266.47270529076593
130,-266.4801259686252
131,-266.4624666339672
132,-266.454411910846
133,-266.4420832530096
134,-266.32285926090174
135,-266.51156991692415
136,-266.17749851417415
137,-266.45027887507354
138,-266.4219112204599
139,-266.5018009232673
140,-266.3310079166512
141,-266.50182440642743
142,-266.30825273674543
143,-266.4124005415594
144,-266.27424912426477
145,-266.68240988984354
146,-266.53279869155654
147,-266.44616932246254
148,-266.3907960363872
149,-266.50377350852193
150,-266.3032743072937
151,-266.3516965786629
152,-266.4309052698985
153,-266.35254197234224
154,-266.29507868522893
155,-266.4718129307703
156,-266.420948410994
157,-266.2340929244422
158,-266.5693619682313
159,-266.51408261479907
160,-266.4173554878498
161,-266.50067373169475
162,-266.30123127257264
163,-266.5505754420007
164,-266.2057017866757
165,-266.5602270198563
166,-266.5861759092136
167,-266.4149367225947
168,-266.44088561195645
169,-266.3407769102929
170,-266.73585755697854
171,-266.37741063643944
172,-266.4804312496825
173,-266.57744017451296
174,-266.31736420197717
175,-266.2909691326147
176,-266.6798502256539
177,-266.45396573085134
178,-266.42726538043416
179,-266.52497880001033
180,-266.29435070733837
181,-266.53481824312956
182,-266.46500281501403
183,-266.2855210400131
184,-266.46037663291975
185,-266.5917414176146
186,-266.7305973296419
187,-266.4034064921333
188,-266.56973769876134
189,-266.48364844230525
190,-266.50964429797904
191,-266.440204600378
192,-266.4948264254057
193,-266.29738003469606
194,-266.4517817971703
195,-266.4973860896056
196,-266.39290952058855
197,-266.41214222681333
198,-266.5544971293516
