Wall time,Step,Value
1676373912.652535,1,-17065.638671875
1676374042.693536,3,-38782.609375
1676374176.668569,5,-37811.87109375
1676374243.823303,6,-13530.89453125
1676374374.358844,8,-17905.19921875
1676374507.80264,10,-14822.3828125
1676374573.749333,11,-13106.9228515625
1676374640.170979,12,-16524.57421875
1676374705.132208,13,-37204.19140625
1676374769.71186,14,-15120.015625
1676374836.778677,15,-11030.3037109375
1676374902.756934,16,-21480.171875
1676374969.93874,17,-18813.306640625
1676375035.648873,18,-19991.728515625
1676375100.345231,19,-14037.11328125
1676375165.849096,20,-14254.5439453125
1676375299.697033,22,-37953.4140625
1676375430.838109,24,-40731.25390625
1676375495.558993,25,-13093.556640625
1676375629.329697,27,-14324.490234375
1676375827.169469,30,-12082.7666015625
1676375893.484797,31,-12083.248046875
1676375960.502875,32,-27943.06640625
1676376026.039724,33,-12487.5419921875
1676376092.762217,34,-19639.349609375
1676376223.507954,36,-14001.666015625
1676376425.299199,39,-24179.12109375
1676376491.177584,40,-26339.576171875
1676376623.125454,42,-28078.44140625
1676376689.573987,43,-23663.05078125
1676376756.820729,44,-24160.806640625
1676376822.571111,45,-16332.267578125
1676376887.95482,46,-36781.62109375
1676376953.7553,47,-37554.05078125
1676377088.744667,49,-15947.685546875
1676377155.909671,50,-22822.400390625
1676377354.512551,53,-37466.91015625
1676377420.887761,54,-21559.267578125
1676377488.66629,55,-11851.232421875
1676377555.057723,56,-11711.21484375
1676377620.770765,57,-20212.70703125
1676377823.743401,60,-12986.0263671875
1676377891.818955,61,-14060.89453125
1676377958.905977,62,-34568.08984375
1676378025.698814,63,-30940.197265625
1676378093.831905,64,-20095.447265625
1676378161.736104,65,-25982.61328125
1676378229.58877,66,-22601.91015625
1676378297.346055,67,-10700.4345703125
1676378363.782667,68,-15484.00390625
1676378431.881297,69,-28367.90625
1676378567.531909,71,-17815.1484375
1676378634.936765,72,-20003.14453125
1676378701.677086,73,-11531.15625
1676378769.870922,74,-12833.033203125
1676378905.603468,76,-19017.76171875
1676378973.612942,77,-11309.15234375
1676379040.524522,78,-21020.5625
1676379107.673982,79,-13281.4609375
1676379243.618502,81,-20551.4375
1676379311.890418,82,-37873.1953125
1676379445.982581,84,-35376.80859375
1676379513.566783,85,-15673.2783203125
1676379581.372299,86,-40339.8046875
1676379649.96879,87,-21030.291015625
1676379717.522408,88,-23751.47265625
1676379784.656673,89,-25859.345703125
1676379919.734625,91,-21305.396484375
1676379987.529842,92,-31333.970703125
1676380055.5334,93,-24659.79296875
1676380122.66996,94,-20214.015625
1676380258.048146,96,-27389.8125
1676380460.87065,99,-12612.77734375
1676380527.432306,100,-14372.5625
1676380595.4995,101,-12184.4404296875
1676380663.241916,102,-17135.431640625
1676380801.043998,104,-33288.15625
1676380868.989107,105,-36718.203125
1676380938.36942,106,-37317.37109375
1676381146.288911,109,-13923.8720703125
1676381214.279792,110,-16171.994140625
1676381420.475866,113,-41664.796875
1676381666.264603,116,-14807.708984375
1676381753.742656,117,-18362.68359375
1676381842.025747,118,-15280.98046875
1676381930.822757,119,-11396.482421875
1676382017.687985,120,-14563.2626953125
1676382105.684429,121,-18949.849609375
1676382280.505006,123,-21324.3359375
1676382364.439911,124,-20932.123046875
1676382445.988974,125,-13354.8203125
1676382528.279697,126,-34484.4765625
1676382611.906499,127,-19257.27734375
1676382781.49091,129,-16717.34375
1676382869.338863,130,-14063.431640625
1676383135.468242,133,-25292.48828125
1676383392.285775,136,-31082.76953125
1676383473.521643,137,-14687.6845703125
1676383638.24326,139,-32181.0625
1676383802.852146,141,-19306.10546875
1676383885.000946,142,-36016.8984375
1676383966.964211,143,-14907.4970703125
1676384050.175904,144,-12201.421875
1676384133.86021,145,-37543.39453125
1676384217.836745,146,-14085.7392578125
1676384392.751441,148,-13893.921875
1676384479.604101,149,-15494.36328125
1676384566.611207,150,-12161.3671875
1676384655.311109,151,-16057.33984375
1676384830.913346,153,-15766.7568359375
1676384918.916352,154,-37633.87890625
1676385006.775319,155,-19844.005859375
1676385181.849099,157,-28175.548828125
1676385267.790453,158,-17270.388671875
1676385354.218968,159,-17297.1640625
1676385530.05507,161,-11975.7255859375
1676385617.139247,162,-22268.587890625
1676385792.433228,164,-33454.78515625
1676385879.842364,165,-10092.95703125
1676386053.827819,167,-16640.927734375
1676386141.307165,168,-17759.154296875
1676386228.878269,169,-13994.779296875
1676386401.981068,171,-13860.71484375
1676386490.069039,172,-13406.6220703125
1676386750.692316,175,-21026.443359375
1676386838.916682,176,-15933.5634765625
1676386928.22582,177,-23651.634765625
1676387014.942114,178,-34263.015625
1676387189.420266,180,-25132.916015625
1676387277.310337,181,-16319.6787109375
1676387364.462281,182,-17800.548828125
1676387450.219856,183,-12125.6630859375
1676387624.804191,185,-29417.828125
1676387711.516653,186,-17823.40234375
1676387798.387061,187,-21572.34375
1676387887.084151,188,-19499.240234375
1676388063.501525,190,-13004.275390625
1676388149.814833,191,-12770.220703125
1676388413.1667,194,-11995.2763671875
1676388762.008324,198,-21576.892578125
1676388849.188592,199,-13271.48046875
1676389110.810848,202,-14801.3974609375
1676389198.724783,203,-16771.240234375
1676389372.952684,205,-20436.26953125
1676389460.62381,206,-34519.53125
1676389547.380334,207,-20554.673828125
1676389634.177971,208,-22589.6796875
1676389721.942048,209,-25465.787109375
1676389980.759468,212,-14163.8486328125
1676390068.171876,213,-33711.1875
1676390156.331679,214,-23204.03125
1676390243.033907,215,-15397.919921875
1676390508.395353,218,-18034.220703125
1676390595.885861,219,-29417.197265625
1676390681.80676,220,-28716.037109375
1676390769.394914,221,-23249.08984375
