,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
0,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888155852,-1.159651002,-1.437566193,-0.878413187
1,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888155852,-1.159651002,-1.437566193,-0.878413187
2,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888155852,-1.159651002,-1.437566193,-0.878413187
3,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888155852,-1.159651002,-1.437566193,-0.878413187
4,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888155852,-1.159651002,-1.437566193,-0.878413187
5,1.860708957,1.519595571,1.738171537,1.073376922,-1.513543699,-2.006346969,-1.507306511,-2.189593103,-0.888157108,-1.159575177,-1.437438172,-0.878413187
6,1.860681516,1.519595571,1.738171537,1.073366942,-1.513543699,-2.006346969,-1.507340097,-2.189593103,-0.888164045,-1.159499353,-1.436670046,-0.878413187
7,1.860681516,1.519595571,1.738171537,1.073355536,-1.513543699,-2.006346969,-1.507373683,-2.189593103,-0.888172038,-1.159939134,-1.435837909,-0.878413187
8,1.860654076,1.519595571,1.738171537,1.073348408,-1.513543699,-2.006346969,-1.507401671,-2.189593103,-0.888179679,-1.160227266,-1.435069783,-0.878413187
9,1.860626635,1.519595571,1.738171537,1.073338428,-1.513543699,-2.006346969,-1.507429659,-2.189593103,-0.888187823,-1.159848145,-1.434301657,-0.878413187
10,1.860626635,1.519595571,1.738171537,1.0733313,-1.513543699,-2.006346969,-1.50745205,-2.189593103,-0.888196469,-1.159469023,-1.433533531,-0.878413187
11,1.860599194,1.519595571,1.738171537,1.07332132,-1.513543699,-2.006346969,-1.50747444,-2.189593103,-0.888205216,-1.159590342,-1.432701394,-0.878413187
12,1.860599194,1.519577886,1.738171537,1.073315617,-1.513543699,-2.006346969,-1.507496831,-2.189593103,-0.888214405,-1.160075617,-1.431933268,-0.878413187
13,1.860599194,1.519577886,1.738157469,1.073315617,-1.513543699,-2.006346969,-1.507508026,-2.189593103,-0.888223509,-1.160151441,-1.431165142,-0.878413187
14,1.860571753,1.519577886,1.738171537,1.073319894,-1.513543699,-2.006346969,-1.507530417,-2.189593103,-0.888231301,-1.159666166,-1.430397016,-0.878413187
15,1.860571753,1.519577886,1.738171537,1.07332132,-1.513543699,-2.006346969,-1.507541612,-2.189593103,-0.888238997,-1.159408364,-1.42962889,-0.878413187
16,1.860571753,1.519577886,1.738171537,1.073325597,-1.513543699,-2.006346969,-1.507552807,-2.189593103,-0.888247342,-1.159726826,-1.428796753,-0.878413187
17,1.860571753,1.519577886,1.738171537,1.0733313,-1.513543699,-2.006346969,-1.507558405,-2.189593103,-0.888256893,-1.160166606,-1.428028627,-0.878413187
18,1.860571753,1.519577886,1.738171537,1.0733313,-1.513543699,-2.006346969,-1.507564003,-2.189593103,-0.888267097,-1.159984628,-1.427260501,-0.878413187
19,1.860571753,1.519577886,1.738171537,1.073332725,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888276799,-1.159514518,-1.426428365,-0.878413187
20,1.860571753,1.519577886,1.738171537,1.073337002,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888285848,-1.159423529,-1.425660239,-0.878413187
21,1.860571753,1.519613257,1.738171537,1.073344131,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888294142,-1.159878474,-1.424892112,-0.878413187
22,1.860571753,1.519613257,1.738171537,1.073359814,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888299018,-1.160166606,-1.424123986,-0.878413187
23,1.860599194,1.519613257,1.738171537,1.073371219,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888302386,-1.159787485,-1.42329185,-0.878413187
24,1.860599194,1.519613257,1.738171537,1.07338405,-1.513543699,-2.006346969,-1.5075696,-2.189593103,-0.888305302,-1.159408364,-1.422523724,-0.878413187
25,1.860599194,1.519630943,1.738171537,1.073398307,-1.513543699,-2.006346969,-1.507558405,-2.189593103,-0.888307263,-1.159514518,-1.421755598,-0.878413187
26,1.860626635,1.519630943,1.738199675,1.073409713,-1.513543699,-2.006346969,-1.507558405,-2.189593103,-0.888308268,-1.160014958,-1.420987472,-0.878413187
27,1.860626635,1.519630943,1.738199675,1.073422544,-1.513543699,-2.006346969,-1.507558405,-2.189593103,-0.88830867,-1.160090782,-1.420155335,-0.878413187
28,1.860626635,1.519630943,1.738199675,1.073435376,-1.513543699,-2.006346969,-1.507541612,-2.189593103,-0.888309474,-1.159620672,-1.419387209,-0.878413187
29,1.860654076,1.519648629,1.738199675,1.073446781,-1.513543699,-2.006346969,-1.507536014,-2.189593103,-0.888309927,-1.159347705,-1.418619083,-0.878413187
30,1.860654076,1.519666314,1.738199675,1.073458187,-1.513543699,-2.006346969,-1.507524819,-2.189593103,-0.888310128,-1.159651002,-1.417850957,-0.878413187
31,1.860681516,1.519666314,1.738199675,1.073469592,-1.513543699,-2.006346969,-1.507513624,-2.189593103,-0.888309877,-1.160105947,-1.417082831,-0.878413187
32,1.860681516,1.519684,1.738199675,1.073480998,-1.513543699,-2.006346969,-1.507508026,-2.189593103,-0.888309927,-1.159923969,-1.416250694,-0.878413187
33,1.860708957,1.519684,1.738227812,1.073496681,-1.513543699,-2.006346969,-1.507485636,-2.189593103,-0.888309927,-1.159423529,-1.415418558,-0.878413187
34,1.860708957,1.519684,1.738227812,1.073508086,-1.513543699,-2.006346969,-1.50747444,-2.189593103,-0.888310027,-1.159393199,-1.414650432,-0.878413187
35,1.860736398,1.519684,1.738227812,1.073519492,-1.513543699,-2.006346969,-1.507463245,-2.189593103,-0.888309575,-1.159863309,-1.413818295,-0.878413187
36,1.860736398,1.519701686,1.738227812,1.073530897,-1.513543699,-2.006346969,-1.50745205,-2.189593103,-0.888308771,-1.160105947,-1.413050169,-0.878413187
37,1.860763839,1.519719372,1.738227812,1.073542303,-1.513543699,-2.006346969,-1.507429659,-2.189593103,-0.888307564,-1.159696496,-1.412282043,-0.878413187
38,1.860763839,1.519719372,1.738227812,1.073553708,-1.513543699,-2.006346969,-1.507412866,-2.189593103,-0.888306157,-1.15933254,-1.411513917,-0.878413187
39,1.86079128,1.519737057,1.738227812,1.07356654,-1.513543699,-2.006346969,-1.507396074,-2.189593103,-0.888304096,-1.159484188,-1.41068178,-0.878413187
40,1.86079128,1.519737057,1.738255949,1.073580797,-1.513543699,-2.006346969,-1.507384878,-2.189593103,-0.888302236,-1.159984628,-1.409913654,-0.878413187
41,1.860818721,1.519737057,1.738255949,1.073593628,-1.513543699,-2.006346969,-1.507368085,-2.189593103,-0.888299974,-1.159999793,-1.409145528,-0.878413187
