,0,,,,,,,3rcp003rs_p_pack
rcp006mp,rcp006mp,,,,,,,3rcp004rs_p_pack
vvp008mp,vvp008mp,,,,,,,3asg015vd_lc_opnt
3are032vl_lc_obk,3are032vl_lc_obk,,,,,,,3asg017vd_lc_opnt
3rcp001vp_p_pack,3rcp001vp_p_pack,,,,,,,3asg016vd_lc_opnt
3asg016vd_p_pack,3asg016vd_p_pack,,,,,,,3asg014vd_lc_opnt
3rcp006rs_c_c5,3rcp006rs_c_c5,,,,,,,asg002km
3asg013vd_p_pack,3asg013vd_p_pack,,,,,,,asg003km
3gct133vv_lc_obk,3gct133vv_lc_obk,,,,,,,3gct132vv_lc_spnt
are059mn,are059mn,,,,,,,vvp007mp
are049md,are049md,,,,,,,vvp010mp
krt032ma,krt032ma,,,,,,,vvp013mp
ety102mp,ety102mp,,,,,,,vvp008mp
3rcv046vp_lc_spnt,3rcv046vp_lc_spnt,,,,,,,vvp011mp
are060mn,are060mn,,,,,,,vvp014mp
sap001mp,sap001mp,,,,,,,3rcp006rs_p_pack
rcp037mp,rcp037mp,,,,,,,vvp009mp
3gct133vv_p_pack,3gct133vv_p_pack,,,,,,,3rcp005rs_p_pack
3are031vl_lc_sbk,3are031vl_lc_sbk,,,,,,,3rcp029mt
3are033vl_lc_obk,3are033vl_lc_obk,,,,,,,3gct133vv_lc_spnt
are043md,are043md,,,,,,,3rcp002rs_p_pack
3gct132vv_c_c8,3gct132vv_c_c8,,,,,,,3rcp001rs_p_pack
lgc001mu,lgc001mu,,,,,,,3are033vl_lc_opnt
3are243vl_lc_obk,3are243vl_lc_obk,,,,,,,3are033vl_lc_obk
ety013ks,ety013ks,,,,,,,3are032vl_lc_opnt
3gct132vv_lc_spnt,3gct132vv_lc_spnt,,,,,,,3are032vl_lc_obk
are044md,are044md,,,,,,,asg012km
are053mn,are053mn,,,,,,,3rcp002vp_p_pack
3rcv046vp_lc_opnt,3rcv046vp_lc_opnt,,,,,,,3rcp001vp_p_pack
krt002ma,krt002ma,,,,,,,3are031vl_lc_opnt
3asg014vd_p_pack,3asg014vd_p_pack,,,,,,,3are031vl_lc_obk
vvp007mp,vvp007mp,,,,,,,asg013km
krt007ma,krt007ma,,,,,,,3gct132vv_p_pack
ety101mp,ety101mp,,,,,,,asg402ks
3are032vl_lc_spnt,3are032vl_lc_spnt,,,,,,,asg011km
krt026ma,krt026ma,,,,,,,asg001km
3gct132vv_c_c7,3gct132vv_c_c7,,,,,,,3rcp028mt
3rcp004rs_c_c2,3rcp004rs_c_c2,,,,,,,3ric100km
3asg012vd_lc_obk,3asg012vd_lc_obk,,,,,,,3ric200km
rcv005md,rcv005md,,,,,,,3rcv046vp_p_pack
3asg013vd_lc_obk,3asg013vd_lc_obk,,,,,,,3are244vl_lc_opnt
3rcp002vp_lc_spnt,3rcp002vp_lc_spnt,,,,,,,3are244vl_lc_obk
sec004mp,sec004mp,,,,,,,3asg013vd_lc_opnt
3rcp003rs_p_pack,3rcp003rs_p_pack,,,,,,,3are243vl_lc_opnt
3rcp002rs_c_c2,3rcp002rs_c_c2,,,,,,,3are243vl_lc_obk
sar003sp,sar003sp,,,,,,,3asg012vd_lc_opnt
vvp011mp,vvp011mp,,,,,,,rcp037mp
sec003mp,sec003mp,,,,,,,rcp039mp
3rcv046vp_c_c8,3rcv046vp_c_c8,,,,,,,3rcp039mp
3rra024vp,3rra024vp,,,,,,,3rcp037mp
3ety502mp,3ety502mp,,,,,,,3are242vl_lc_opnt
rcp008mn,rcp008mn,,,,,,,3are242vl_lc_obk
vvp003md,vvp003md,,,,,,,3rcv046vp_lc_obk
3are242vl_p_pack,3are242vl_p_pack,,,,,,,3rcv046vp_lc_opnt
3rcp001rs_p_pack,3rcp001rs_p_pack,,,,,,,3gct133vv_p_pack
3rcp005rs_c_c4,3rcp005rs_c_c4,,,,,,,3are031vl_lc_sbk
krt003ma,krt003ma,,,,,,,3are032vl_lc_sbk
vvp001md,vvp001md,,,,,,,3are242vl_lc_sbk
3rcp001vp_lc_opnt,3rcp001vp_lc_opnt,,,,,,,3are243vl_lc_sbk
3are032vl_lc_sbk,3are032vl_lc_sbk,,,,,,,3are244vl_lc_sbk
are402km,are402km,,,,,,,3are033vl_lc_sbk
3rcv013vp_lc_opnt,3rcv013vp_lc_opnt,,,,,,,are050md
krt008ma,krt008ma,,,,,,,vvp001md
3asg014vd_lc_obk,3asg014vd_lc_obk,,,,,,,are049md
3rcp024mp_a_pnt,3rcp024mp_a_pnt,,,,,,,krt009ma
3are242vl_lc_spnt,3are242vl_lc_spnt,,,,,,,are044md
rpa309ks,rpa309ks,,,,,,,are047md
3are242vl_lc_sbk,3are242vl_lc_sbk,,,,,,,are402km
3rcp037mp,3rcp037mp,,,,,,,are045md
3ric203km,3ric203km,,,,,,,are048md
3are033vl_p_pack,3are033vl_p_pack,,,,,,,are403km
3gct133vv_lc_opnt,3gct133vv_lc_opnt,,,,,,,rpn403km
3rcp002vp_lc_opnt,3rcp002vp_lc_opnt,,,,,,,rpn409km
vvp013mp,vvp013mp,,,,,,,are401km
3asg016vd_lc_obk,3asg016vd_lc_obk,,,,,,,are043md
3are032vl_lc_opnt,3are032vl_lc_opnt,,,,,,,are046md
rpb309ks,rpb309ks,,,,,,,vvp003md
are030mn,are030mn,,,,,,,vvp002md
ety104mp,ety104mp,,,,,,,rcp006mp
3asg012vd_p_pack,3asg012vd_p_pack,,,,,,,krt004ma
3are243vl_lc_sbk,3are243vl_lc_sbk,,,,,,,lha001mu
3asg017vd_lc_obk,3asg017vd_lc_obk,,,,,,,lhb001mu
3gct133vv_c_c8,3gct133vv_c_c8,,,,,,,3rcv013vp_lc_opnt
rcv520ks,rcv520ks,,,,,,,rcv004mp
3rcp004rs_p_pack,3rcp004rs_p_pack,,,,,,,3rcv013vp_lc_obk
3rcv046vp_lc_obk,3rcv046vp_lc_obk,,,,,,,3rcp001vp_c_c8
asg011km,asg011km,,,,,,,3rcp002vp_c_c8
3rcp004rs_c_c1,3rcp004rs_c_c1,,,,,,,lgb001mu
asg403ks,asg403ks,,,,,,,rcv005md
3gct132vv_lc_opnt,3gct132vv_lc_opnt,,,,,,,lgc001mu
3rcp006rs_c_c1,3rcp006rs_c_c1,,,,,,,asg403ks
lha001mu,lha001mu,,,,,,,asg401ks
are401km,are401km,,,,,,,3gct133vv_c_c8
krt033ma,krt033ma,,,,,,,rcv017mp
3are031vl_lc_opnt,3are031vl_lc_opnt,,,,,,,3gct133vv_c_c7
3rcp029mt,3rcp029mt,,,,,,,3rcp006rs_c_c2
3are243vl_lc_opnt,3are243vl_lc_opnt,,,,,,,3rcp006rs_c_c5
3rcv013vp_lc_spnt,3rcv013vp_lc_spnt,,,,,,,3rcp005rs_c_c2
are058mn,are058mn,,,,,,,3rcp005rs_c_c5
sar003sp.1,sar003sp.1,,,,,,,3rcp002rs_c_c2
3rcp002rs_p_pack,3rcp002rs_p_pack,,,,,,,rcv502ks
3asg015vd_p_pack,3asg015vd_p_pack,,,,,,,are060mn
asg402ks,asg402ks,,,,,,,are057mn
8ety501mp,8ety501mp,,,,,,,are054mn
3asg013vd_lc_opnt,3asg013vd_lc_opnt,,,,,,,are030mn
3gct131vv_c_c8,3gct131vv_c_c8,,,,,,,3rcp001rs_c_c2
rpa236ks,rpa236ks,,,,,,,3gct131vv_p_pack
